"X__1"	"ID0"	"Description"	"reaction"	"rxnID"	"reaction_corrected"	"gene"	"ec_uniprot"	"subsystem"	"Reversibility"	"Reversibility_evidences"	"Remark"	"subsystem_standard"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"
2	"Rh3"	"Cytochrome c heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome-c synthase)"	"Cytochrome c <=> Apocytochrome c  + Heme"	"R02480"	"Cytochrome c <=> Apocytochrome c + ferroheme b"	"YAL039C;YKL087C"	"4.4.1.17;4.4.1.-"	"Porphyrin and chlorophyll metabolism"	1	"NA"	"Add new reaction;"	"sce00860  porphyrin and chlorophyll metabolism"	"rhea:22648"	"NA"	NA	"MNXR126137"	"2 `L-cysteine residue` + 1 `heme b` = 1 `holocytochrome c residue`"	"true"	"2 MNXM127148@MNXD1 + 1 MNXM249@MNXD1 = 1 MNXM147124@MNXD1"	"holo-[cytochrome c] => apo-[cytochrome c] + heme b;apo-[cytochrome c] + heme b => holo-[cytochrome c]"
7	"Rh8"	"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112)"	"ATP  + L-glutamyl-tRNA(Gln)  + L-glutamine <=> ADP  + phosphate  + L-glutaminyl-tRNA(Gln)  + L-glutamate"	"6.3.5.6-RXN"	"ATP + L-glutamyl-tRNA(Gln) + L-glutamine -> ADP + phosphate + Gln-tRNA(Gln) + L-glutamate"	"YBL080C"	"6.3.5.-"	"Aminoacyl-tRNA biosynthesis"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00970  aminoacyl-trna biosynthesis"	"rhea:14513"	"RHEA:14513"	NA	"MNXR125780"	"1 `3'-(L-aspartate)adenylyl group` + 1 `H2O` + 1 `ATP` + 1 `L-glutamine` = 2 `H(+)` + 1 `3'-(L-asparaginyl)adenylyl group` + 1 `ADP` + 1 `L-glutamate` + 1 `phosphate`"	"true"	"1 MNXM145730@MNXD1 + 1 MNXM2@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM37@MNXD1 = 2 MNXM1@MNXD1 + 1 MNXM146071@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM89557@MNXD1 + 1 MNXM9@MNXD1"	"L-aspartyl-tRNA(Asn) + L-glutamine + ATP + H2O => L-asparaginyl-tRNA(Asn) + L-glutamate + ADP + 2 H(+) + phosphate;L-asparaginyl-tRNA(Asn) + L-glutamate + ADP + 2 H(+) + phosphate => L-aspartyl-tRNA(Asn) + L-glutamine + ATP + H2O"
8	"Rh9"	"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)"	"Dolichyl phosphate D-mannose  + G00006 <=> Dolichyl phosphate  + G10595"	"R06258"	"dolichyl D-mannosyl phosphate + G00006 <=> dolichyl phosphate + G10595"	"YBL082C"	"2.4.1.258"	"N-Glycan biosynthesis"	1	"NA"	"Why not added?"	"sce00510  n-glycan biosynthesis"	"rhea:29527"	"NA"	"MNXR110092"	"MNXR121811"	"1 `alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `dolichyl beta-D-mannosyl phosphate` = 1 `H(+)` + 1 `alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `dolichyl phosphate`"	"true"	"1 MNXM11176@MNXD1 + 1 MNXM7322@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM11177@MNXD1 + 1 MNXM278@MNXD1"	"alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl beta-D-mannosyl phosphate => alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate + H(+);alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate + H(+) => alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl beta-D-mannosyl phosphate"
9	"Rh10"	"Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)"	"Met-Ala  + H2O <=> Met  + Ala"	"MNXR100968"	"Met-Ala + H2O <=> L-methionine + L-alanine"	"YBL091C;YLR244C"	"3.4.11.18"	"other"	1	"NA"	"Add new reaction;"	"other"	"NA"	"NA"	NA	"MNXR100968"	"1 `H(+)` + 1 `Ala-Met` + 1 `ADP` + 1 `phosphate` = 1 `ATP` + 1 `L-alanine` + 1 `L-methionine`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM59267@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM32@MNXD1 + 1 MNXM61@MNXD1"	NA
10	"Rh11"	"Probable trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)"	"alpha,alpha-Trehalose  + H2O <=> 2 D-Glucose"	"R00010"	"trehalose + H2O <=> 2 D-glucose"	"YBR001C"	"3.2.1.28"	"Starch and sucrose metabolism"	1	"NA"	"Only merge the gene;"	"sce00500  starch and sucrose metabolism"	"rhea:20868"	"NA"	NA	"MNXR95163"	"1 `alpha,alpha-trehalose` + 1 `H2O` = 2 `D-glucose`"	"true"	"1 MNXM198@MNXD1 + 1 MNXM2@MNXD1 = 2 MNXM41@MNXD1"	"alpha,alpha-trehalose + H2O => 2 D-glucose;2 D-glucose => alpha,alpha-trehalose + H2O"
11	"Rh12"	"ADP-ribose 1''-phosphate phosphatase (EC 3.1.3.84) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase)"	"ADP ribose 1''-phosphate  + H2O => ADP-D-ribose  + phosphate"	"MNXR116282"	"ADP-D-ribose 1''-phosphate + H2O <=> ADP-ribose + phosphate"	"YBR022W"	"3.1.3.84; 3.2.2.-"	"other"	1	"based on database;"	"Add new reaction;"	"other"	"NA"	"NA"	NA	"MNXR116282"	"1 `H2O` + 1 `ADP-D-ribose 1''-phosphate` = 1 `ADP-D-ribose` + 1 `phosphate`"	"true"	"1 MNXM2@MNXD1 + 1 MNXM5039@MNXD1 = 1 MNXM48596@MNXD1 + 1 MNXM9@MNXD1"	NA
12	"Rh13"	"Probable quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase)"	"2 a quinone  + H(+)  + NADPH <=> 2 a 1,4-benzosemiquinone  + NADP(+)"	"R02364"	"2 a quinone + H+ + NADPH <=> 2 a 1,4-benzosemiquinone + NADP(+)"	"YBR046C"	"1.6.5.5"	"Tyrosine metabolism"	1	"based on database;"	"Add new reaction;"	"sce00350  tyrosine metabolism"	"rhea:14269"	"NA"	"MNXR107466"	"MNXR125766"	"2 `a 1,4-benzosemiquinone` + 1 `NADP(+)` = 1 `H(+)` + 1 `NADPH` + 2 `a 1,4-benzoquinone`"	"true"	"2 MNXM163252@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM6@MNXD1 + 2 MNXM769@MNXD1"	"2 a quinone + H(+) + NADPH => 2 a 1,4-benzosemiquinone + NADP(+);2 a 1,4-benzosemiquinone + NADP(+) => 2 a quinone + H(+) + NADPH"
14	"Rh15"	"ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)"	"ADP-D-ribose  + H2O <=> AMP  + D-ribofuranose 5-phosphate  + 2 H(+)"	"MNXR106807"	"ADP-ribose + H2O <=> AMP + D-ribofuranose 5-phosphate + 2 H+"	"YBR111C"	"3.6.1.13"	"Purine metabolism"	1	"NA"	"Add new reaction;"	"sce00230  purine metabolism"	"NA"	"NA"	NA	"MNXR106807"	"2 `H(+)` + 1 `D-ribose 5-phosphate` + 1 `AMP` = 1 `H2O` + 1 `ADP-D-ribose`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM116@MNXD1 + 1 MNXM14@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM48596@MNXD1"	NA
20	"Rh21"	"Peroxisomal-coenzyme A synthetase (EC 6.-.-.-)"	"ATP  + Oxalate  + CoA <=> AMP  + Diphosphate  + Oxalyl-CoA"	"R01558"	"ATP + Oxalate + coenzyme A <=> AMP + diphosphate + Oxalyl-CoA"	"YBR222C"	"6.-.-.-"	"Glyoxylate and dicarboxylate metabolism"	1	"based on database;"	"Add new reaction;"	"sce00630  glyoxylate and dicarboxylate metabolism"	"rhea:18293"	"NA"	NA	"MNXR102232"	"1 `diphosphate` + 1 `AMP` + 1 `oxalyl-CoA` = 1 `CoA` + 1 `oxalate` + 1 `ATP`"	"true"	"1 MNXM11@MNXD1 + 1 MNXM14@MNXD1 + 1 MNXM618@MNXD1 = 1 MNXM12@MNXD1 + 1 MNXM291@MNXD1 + 1 MNXM3@MNXD1"	"ATP + CoA + oxalate => AMP + diphosphate + oxalyl-CoA;AMP + diphosphate + oxalyl-CoA => ATP + CoA + oxalate"
21	"Rh22"	"Glucosidase 2 subunit alpha (EC 3.2.1.84) (Alpha-glucosidase II subunit alpha) (Glucosidase II subunit alpha) (Reversal of TOR2 lethality protein 2)"	"H2O  + G00171 <=> D-Glucose  + G00010"	"R05980"	"H2O + G00171 <=> D-glucose + G00010"	"YBR229C"	"3.2.1.84"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:55996"	"NA"	"MNXR109971"	"MNXR109971"	"1 `H2O` + 1 `G00171` = 1 `D-glucose` + 1 `G00010`"	"NA"	"1 MNXM2@MNXD1 + 1 MNXM9298@MNXD1 = 1 MNXM41@MNXD1 + 1 MNXM9295@MNXD1"	NA
