"rxnID"	"name"	"reaction"
"rn:R00001"	"polyphosphate polyphosphohydrolase"	"polyphosphate + n h2o <=> (n+1) oligophosphate"
"rn:R00002"	"Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"	"16 atp + 16 h2o + 8 reduced ferredoxin <=> 8 e- + 16 orthophosphate + 16 adp + 8 oxidized ferredoxin"
"rn:R00004"	"diphosphate phosphohydrolase; pyrophosphate phosphohydrolase"	"diphosphate + h2o <=> 2 orthophosphate"
"rn:R00005"	"urea-1-carboxylate amidohydrolase"	"urea-1-carboxylate + h2o <=> 2 co2 + 2 ammonia"
"rn:R00006"	"pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating)"	"2-acetolactate + co2 <=> 2 pyruvate"
"rn:R00008"	"4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)"	"parapyruvate <=> 2 pyruvate"
"rn:R00009"	"hydrogen-peroxide:hydrogen-peroxide oxidoreductase"	"2 hydrogen peroxide <=> oxygen + 2 h2o"
"rn:R00010"	"alpha,alpha-trehalose glucohydrolase"	"alpha,alpha-trehalose + h2o <=> 2 d-glucose"
"rn:R00011"	"Mn(II):hydrogen-peroxide oxidoreductase"	"2 manganese(2+) + hydrogen peroxide + 2 h(+) <=> 2 manganese(3+) + 2 h2o"
"rn:R00012"	"GTP:GTP guanylyltransferase"	"2 gtp <=> diphosphate + p1,p4-bis(5'-guanosyl) tetraphosphate"
"rn:R00013"	"glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)"	"2 glyoxylate <=> 2-hydroxy-3-oxopropanoate + co2"
"rn:R00014"	"pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)"	"pyruvate + thiamin diphosphate <=> 2-(alpha-hydroxyethyl)thiamine diphosphate + co2"
"rn:R00015"	"sucrose:sucrose 1'-beta-D-fructosyltransferase; sucrose:sucrose 1F-beta-D-fructosyltransferase"	"2 sucrose <=> d-glucose + 1f-beta-d-fructosylsucrose"
"rn:R00017"	"ferrocytochrome-c:hydrogen-peroxide oxidoreductase"	"hydrogen peroxide + 2 ferrocytochrome c <=> 2 ferricytochrome c + 2 h2o"
"rn:R00018"	"putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)"	"2 putrescine <=> sym-homospermidine + ammonia"
"rn:R00019"	"hydrogen:ferredoxin oxidoreductase; reduced ferredoxin:H+ oxidoreductase"	"2 reduced ferredoxin + 2 h(+) <=> hydrogen + 2 oxidized ferredoxin"
"rn:R00021"	"L-glutamate:ferredoxin oxidoreductase (transaminating)"	"2 l-glutamate + 2 oxidized ferredoxin <=> l-glutamine + 2-oxoglutarate + 2 reduced ferredoxin + 2 h(+)"
"rn:R00022"	"chitobiose N-acetylglucosaminohydrolase"	"chitobiose + h2o <=> 2 n-acetyl-d-glucosamine"
"rn:R00023"	"hydroxylamine:NAD+ oxidoreductase; NADH:hyponitrite oxidoreductase"	"2 hydroxylamine + 2 nad(+) <=> hyponitrite + 2 nadh + 2 h(+)"
"rn:R00024"	"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)"	"d-ribulose 1,5-bisphosphate + co2 + h2o <=> 2 3-phospho-d-glycerate"
"rn:R00025"	"ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)"	"ethylnitronate + oxygen + reduced fmn <=> acetaldehyde + nitrite + fmn + h2o"
"rn:R00026"	"cellobiose glucohydrolase"	"cellobiose + h2o <=> 2 beta-d-glucose"
"rn:R00027"	"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)"	"benzoin <=> 2 benzaldehyde"
"rn:R00028"	"maltose glucohydrolase"	"maltose + h2o <=> 2 d-glucose"
"rn:R00029"	"thiosulfate:ferricytochrome-c oxidoreductase"	"2 thiosulfate + 2 ferricytochrome c <=> tetrathionate + 2 ferrocytochrome c"
"rn:R00031"	"1,2-benzenediol:oxygen oxidoreductase"	"oxygen + 2 l-tyrosine <=> 2 3,4-dihydroxy-l-phenylalanine"
"rn:R00032"	"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"	"beta-carotene + oxygen <=> 2 retinal"
"rn:R00033"	"thiamine:oxygen 5-oxidoreductase"	"thiamine + oxygen <=> hydrogen peroxide + thiamine aldehyde"
"rn:R00034"	"Cyclobutadipyrimidine (in DNA) pyrimidine-lyase"	"cyclobutadipyrimidine <=> 2 pyrimidine 5'-deoxynucleotide"
"rn:R00036"	"5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)"	"2 5-aminolevulinate <=> porphobilinogen + 2 h2o"
"rn:R00038"	"4-hydroxy-3-hexanone propanal-lyase (propanal-forming)"	"2 propanal <=> 4-hydroxyhexan-3-one"
"rn:R00039"	"raffinose:raffinose 1F-alpha-D-galactosyltransferase"	"2 raffinose <=> lychnose + sucrose"
"rn:R00041"	"long-chain-alcohol:oxygen oxidoreductase"	"2 long-chain alcohol + oxygen <=> 2 long-chain aldehyde + 2 h2o"
"rn:R00042"	"4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)"	"2 3-(4-hydroxyphenyl)pyruvate + oxygen <=> 2 4-hydroxyphenylacetate + 2 co2"
"rn:R00043"	"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)"	"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene + oxygen <=> 2 4-hydroxy-3-methoxy-benzaldehyde"
"rn:R00044"	"columbamine:oxygen oxidoreductase (cyclizing)"	"2 columbamine + oxygen <=> 2 berberine + 2 h2o"
"rn:R00045"	"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase"	"oxygen + 2 3,4-dihydroxy-l-phenylalanine <=> 2 dopaquinone + 2 h2o"
"rn:R00047"	"6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)"	"oxygen + 6-hydroxynicotinate + reduced acceptor <=> 2,5-dihydroxypyridine + co2 + acceptor + h2o"
"rn:R00048"	"(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase"	"(r)-3-((r)-3-hydroxybutanoyloxy)butanoate + h2o <=> 2 (r)-3-hydroxybutanoate"
"rn:R00049"	"1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase"	"2 1-o-galloyl-beta-d-glucose <=> d-glucose + 1-o,6-o-digalloyl-beta-d-glucose"
"rn:R00052"	"chloride:hydrogen-peroxide oxidoreductase"	"hydrogen peroxide + alkane + hydrochloric acid <=> rcl + 2 h2o"
"rn:R00053"	"digallate acylhydrolase; tannin acylhydrolase"	"digallate + h2o <=> 2 gallate"
"rn:R00054"	"orsellinate-depside hydrolase"	"lecanoric acid + h2o <=> 2 orsellinate"
"rn:R00055"	"inosine:oxygen 5'-oxidoreductase"	"2 inosine + oxygen <=> 2 5'-oxoinosine + 2 h2o"
"rn:R00056"	"dinucleotide nucleotidohydrolase"	"dinucleotide + h2o <=> 2 mononucleotide"
"rn:R00057"	"thiol:oxygen oxidoreductase"	"oxygen + 2 r'c(r)sh <=> r'c(r)s-s(r)cr' + hydrogen peroxide"
"rn:R00058"	"catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase"	"oxygen + 2 catechol <=> 2 o-benzoquinone + 2 h2o"
"rn:R00059"	"N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase"	"n-(6-aminohexanoyl)-6-aminohexanoate + h2o <=> 2 6-aminohexanoate"
"rn:R00060"	"Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)"	"oxygen + 2 sulochrin <=> 2 (+)-bisdechlorogeodin + 2 h2o"
"rn:R00061"	"sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)"	"oxygen + 2 sulochrin <=> 2 (-)-bisdechlorogeodin + 2 h2o"
"rn:R00062"	"bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase"	"2 bilirubin-glucuronoside <=> bilirubin + bilirubin beta-diglucuronide"
"rn:R00063"	"1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase"	"2 1-o-sinapoyl-beta-d-glucose <=> 1,2-bis-o-sinapoyl-beta-d-glucoside + d-glucose"
"rn:R00066"	"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase"	"2 6,7-dimethyl-8-(d-ribityl)lumazine <=> riboflavin + 5-amino-6-(1-d-ribitylamino)uracil"
"rn:R00067"	"Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"	"2 e- + 2 h(+) <=> hydrogen"
"rn:R00068"	"L-ascorbate:oxygen oxidoreductase"	"oxygen + 2 ascorbate <=> 2 dehydroascorbate + 2 h2o"
"rn:R00069"	"4-imidazolone-5-propanoate:oxygen oxidoreductase"	"hydantoin-5-propionate + hydrogen peroxide <=> 4-imidazolone-5-propanoate + oxygen + h2o"
"rn:R00070"	"D-urobilinogen:oxygen oxidoreductase"	"2 d-urobilinogen + oxygen <=> 2 d-urobilin + 2 h2o"
"rn:R00072"	"thiamine-aldehyde:oxygen 5-oxidoreductase"	"thiamine aldehyde + oxygen + h2o <=> hydrogen peroxide + thiamine acetic acid"
"rn:R00073"	"reduced acceptor:prostaglandin G2 oxidoreductase"	"prostaglandin h2 + acceptor + h2o <=> prostaglandin g2 + reduced acceptor"
"rn:R00074"	"2-aminophenol:oxygen oxidoreductase (dimerizing)"	"4 2-aminophenol + 3 oxygen <=> 2 2-aminophenoxazin-3-one + 6 h2o"
"rn:R00075"	"S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase"	"3 s-adenosyl-l-methionine <=> 3 5'-methylthioadenosine + nicotianamine"
"rn:R00076"	"ATP:phosphorylase-b phosphotransferase; ATP:[glycogen phosphorylase] phosphotransferase"	"4 atp + 2 phosphorylase b <=> 4 adp + phosphorylase a"
"rn:R00077"	"[Phosphorylase a] phosphohydrolase; [glycogen phosphorylase] phosphohydrolase"	"phosphorylase a + 4 h2o <=> 2 phosphorylase b + 4 orthophosphate"
"rn:R00078"	"Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase"	"oxygen + 4 fe2+ + 4 h(+) <=> 4 fe3+ + 2 h2o"
"rn:R00080"	"Catechol:oxygen oxidoreductase (dimerizing)"	"4 catechol + 3 oxygen <=> 6 h2o + 2 dibenzo[1,4]dioxin-2,3-dione"
"rn:R00081"	"Ferrocytochrome-c:oxygen oxidoreductase"	"oxygen + 4 ferrocytochrome c + 4 h(+) <=> 4 ferricytochrome c + 2 h2o"
