"ID"	"compostion"	"MNX_ID"	"Formula"	"Charge"	"Description"	"chebiid"	"keggid"
"R06513"	"reactant"	"MNXM1376"	"C16H24N2O16P2"	"-2"	"dTDP-alpha-D-glucose"	"CHEBI:15700"	"C00842"
"R06513"	"product"	"MNXM2"	"H2O"	"0"	"H2O"	"CHEBI:15377"	"C00001"
"R06513"	"product"	"MNXM451"	"C16H22N2O15P2"	"-2"	"dTDP-4-dehydro-6-deoxy-alpha-D-glucose"	"CHEBI:16128"	"C11907"
"R01157"	"reactant"	"MNXM117"	"CH4N2O"	"0"	"urea"	"CHEBI:16199"	"C00086"
"R01157"	"reactant"	"MNXM118"	"C4H14N2"	"2"	"putrescine"	"CHEBI:17148"	"C00134"
"R01157"	"product"	"MNXM2"	"H2O"	"0"	"H2O"	"CHEBI:15377"	"C00001"
"R01157"	"product"	"MNXM328"	"C5H16N4"	"2"	"agmatine"	"CHEBI:17431"	"C00179"
"R02454"	"reactant"	"MNXM1045"	"C6H11O7"	"-1"	"D-mannonate"	"CHEBI:17767"	"C00514"
"R02454"	"reactant"	"MNXM8"	"C21H26N7O14P2"	"-1"	"NAD(+)"	"CHEBI:15846"	"C00003"
"R02454"	"product"	"MNXM1"	"H"	"1"	"H(+)"	"CHEBI:15378"	"C00080"
"R02454"	"product"	"MNXM10"	"C21H27N7O14P2"	"-2"	"NADH"	"CHEBI:16908"	"C00004"
"R02454"	"product"	"MNXM1660"	"C6H9O7"	"-1"	"D-fructuronate"	"CHEBI:4126"	"C00905"
"R07346"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"	"CHEBI:15378"	"C00080"
"R07346"	"reactant"	"MNXM588"	"C6H12O6"	"0"	"L-sorbopyranose"	"CHEBI:10295"	"C08356"
"R07346"	"reactant"	"MNXM6"	"C21H26N7O17P3"	"-4"	"NADPH"	"CHEBI:16474"	"C00005"
"R07346"	"product"	"MNXM469"	"C6H14O6"	"0"	"D-sorbitol"	"CHEBI:17924"	"C00794"
