"rxnID"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"	"reverse"
"R06513"	"5-EC1118_1F14_0056g"	" dTDP-glucose <=> dTDP-4-oxo-6-deoxy-D-glucose + H2O"	"dTDPglucose 4,6-hydro-lyase"	"K01710"	"path:map00521;path:map00523;path:map00525;path:map01055;path:map01130"	"sce00521  Streptomycin biosynthesis;sce00523  Polyketide sugar unit biosynthesis;sce00525  Acarbose and validamycin biosynthesis;sce01055  Biosynthesis of vancomycin group antibiotics;sce01130  Biosynthesis of antibiotics"	"rhea:17221"	"NA"	NA	"MNXR104761"	"1 `dTDP-alpha-D-glucose` = 1 `H2O` + 1 `dTDP-4-dehydro-6-deoxy-alpha-D-glucose`"	"true"	"1 MNXM1376@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM451@MNXD1"	"dTDP-alpha-D-glucose => dTDP-4-dehydro-6-deoxy-alpha-D-glucose + H2O;dTDP-4-dehydro-6-deoxy-alpha-D-glucose + H2O => dTDP-alpha-D-glucose"	"yes"
"R01157"	"7-EC1118_1F14_0089g"	" Agmatine + H2O <=> Putrescine + Urea"	"Agmatine amidinohydrolase"	"K01480"	"path:map00330;path:map01100"	"sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"	"rhea:13929"	"NA"	NA	"MNXR95554"	"1 `urea` + 1 `putrescine` = 1 `H2O` + 1 `agmatine`"	"true"	"1 MNXM117@MNXD1 + 1 MNXM118@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM328@MNXD1"	"agmatine + H2O => putrescine + urea;putrescine + urea => agmatine + H2O"	"yes"
"R00025"	"12-EC1118_1F14_0155g;5056-YJR149W"	" Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O"	"ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)"	"K00459"	"path:map00910"	"sce00910  Nitrogen metabolism"	"rhea:26458"	"NA"	NA	"MNXR106342"	"2 `H(+)` + 1 `nitrite` + 1 `FMN` + 1 `H2O` + 1 `acetaldehyde` = 1 `FMNH2` + 1 `nitroethane` + 1 `O2`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM107@MNXD1 + 1 MNXM119@MNXD1 + 1 MNXM2@MNXD1 + 1 MNXM75@MNXD1 = 1 MNXM208@MNXD1 + 1 MNXM2143@MNXD1 + 1 MNXM4@MNXD1"	"ethylnitronate + FMNH2 + O2 => acetaldehyde + FMN + H2O + 2 H(+) + nitrite;acetaldehyde + FMN + H2O + 2 H(+) + nitrite => ethylnitronate + FMNH2 + O2"	"yes"
"R00251"	"13-EC1118_1N26_0012g;246-augustus_masked-4896-BLT_2;1022-augustus_masked-AHG_3-5017;5284-YKL215C"	" ATP + Pidolic acid + 2 H2O <=> ADP + Orthophosphate + L-Glutamate"	"5-oxo-L-proline amidohydrolase (ATP-hydrolysing)"	"K01469"	"path:map00480;path:map01100"	"sce00480  Glutathione metabolism;sce01100  Metabolic pathways"	"rhea:10348"	"NA"	NA	"MNXR102200"	"1 `H(+)` + 1 `ADP` + 1 `L-glutamate` + 1 `phosphate` = 2 `H2O` + 1 `ATP` + 1 `5-oxo-L-proline`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM89557@MNXD1 + 1 MNXM9@MNXD1 = 2 MNXM2@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM964@MNXD1"	"5-oxo-L-proline + ATP + 2 H2O => L-glutamate + ADP + H(+) + phosphate;L-glutamate + ADP + H(+) + phosphate => 5-oxo-L-proline + ATP + 2 H2O"	"yes"
"R02454"	"23-EC1118_1O4_6546g"	" D-Mannonate + NAD+ <=> D-Fructuronate + NADH + H+"	"D-Mannonate:NAD+ 5-oxidoreductase"	"K00040"	"path:map00040;path:map01100"	"sce00040  Pentose and glucuronate interconversions;sce01100  Metabolic pathways"	"rhea:15729"	"NA"	NA	"MNXR101389"	"1 `D-mannonate` + 1 `NAD(+)` = 1 `H(+)` + 1 `NADH` + 1 `D-fructuronate`"	"true"	"1 MNXM1045@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM1660@MNXD1"	"D-mannonate + NAD(+) => keto-D-fructuronate + H(+) + NADH;keto-D-fructuronate + H(+) + NADH => D-mannonate + NAD(+)"	"yes"
"R07346"	"27-EC1118_1O4_6612g"	" D-Sorbitol + NADP+ <=> L-Sorbose + NADPH + H+"	"D-glucitol:NADP+ oxidoreductase"	"K17742"	"path:map00051"	"sce00051  Fructose and mannose metabolism"	"rhea:14609"	"NA"	NA	"MNXR111009"	"1 `H(+)` + 1 `L-sorbopyranose` + 1 `NADPH` = 1 `D-sorbitol` + 1 `NADP(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM588@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM469@MNXD1 + 1 MNXM5@MNXD1"	"D-sorbitol + NADP(+) => L-sorbopyranose + H(+) + NADPH;L-sorbopyranose + H(+) + NADPH => D-sorbitol + NADP(+)"	"yes"
"R00875"	"28-EC1118_1O4_6623g;1092-augustus_masked-AIE_1-5054;5066-YJR159W_NumOfGenes_2"	" D-Sorbitol + NAD+ <=> D-Fructose + NADH + H+"	"D-Glucitol:NAD+ 2-oxidoreductase"	"K00008"	"path:map00040;path:map00051;path:map01100"	"sce00040  Pentose and glucuronate interconversions;sce00051  Fructose and mannose metabolism;sce01100  Metabolic pathways"	"rhea:33031"	"NA"	NA	"MNXR104283"	"1 `H(+)` + 1 `NADH` + 1 `D-fructose` = 1 `D-sorbitol` + 1 `NAD(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM175@MNXD1 = 1 MNXM469@MNXD1 + 1 MNXM8@MNXD1"	"D-fructose + H(+) + NADH => D-sorbitol + NAD(+);D-sorbitol + NAD(+) => D-fructose + H(+) + NADH"	"yes"
"R01896"	"28-EC1118_1O4_6623g;1092-augustus_masked-AIE_1-5054;5066-YJR159W_NumOfGenes_2;5530-YLR070C"	" Xylitol + NAD+ <=> D-Xylulose + NADH + H+"	"xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)"	"K00008"	"path:map00040;path:map00051;path:map01100"	"sce00040  Pentose and glucuronate interconversions;sce00051  Fructose and mannose metabolism;sce01100  Metabolic pathways"	"rhea:20433"	"NA"	NA	"MNXR105262"	"1 `H(+)` + 1 `NADH` + 1 `D-xylulose` = 1 `xylitol` + 1 `NAD(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM597@MNXD1 = 1 MNXM510@MNXD1 + 1 MNXM8@MNXD1"	"NAD(+) + xylitol => D-xylulose + H(+) + NADH;D-xylulose + H(+) + NADH => NAD(+) + xylitol"	"yes"
"R01101"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Melibiose + H2O <=> D-Galactose + D-Glucose"	"melibiose galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"rhea:28663"	"NA"	NA	"MNXR126346"	"1 `beta-D-glucose` + 1 `alpha-D-galactose` = 1 `melibiose` + 1 `H2O`"	"true"	"1 MNXM105@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM1434@MNXD1 + 1 MNXM2@MNXD1"	"H2O + melibiose => alpha-D-galactose + beta-D-glucose;alpha-D-galactose + beta-D-glucose => H2O + melibiose"	"yes"
"R04019"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Digalactosylceramide + H2O <=> Galactosylceramide + D-Galactose"	"Digalactosylceramide galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	"MNXR108596"	"MNXR108596"	"5 `H(+)` + 1 `digalactosylceramide` + 1 `H2O` = 1 `alpha-D-galactose` + 1 `an N-acyl-beta-D-galactosyl-sphing-4-enine`"	"ambiguous"	"5 MNXM1@MNXD1 + 1 MNXM1921@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM545@MNXD1"	NA	"not sure"
