"met"	"reaction"	"formula"	"reactant"	"product"	"MNX_ID"	"common_met_num"
"Rh1"	"1 MNXM162702@MNXD1 + 1 MNXM2@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM162702@MNXD2 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1"	"1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` = 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`"	"1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` "	" 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`"	"MNXR125804"	1
"Rh1"	"1 MNXM162702@MNXD1 + 1 MNXM2@MNXD2 + 1 MNXM3@MNXD2 = 1 MNXM1@MNXD2 + 1 MNXM162702@MNXD2 + 1 MNXM7@MNXD2 + 1 MNXM9@MNXD2"	"1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` = 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`"	"1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` "	" 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`"	"MNXR125805"	1
"Rh17"	"1 MNXM134@MNXD1 = 1 MNXM134@BOUNDARY"	"1 `L-histidine` = 1 `L-histidine`"	"1 `L-histidine` "	" 1 `L-histidine`"	"MNXR98656"	1
"Rh17"	"1 MNXM134@MNXD2 + 1 MNXM2@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM134@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1"	"1 `L-histidine` + 1 `H2O` + 1 `ATP` = 1 `H(+)` + 1 `L-histidine` + 1 `ADP` + 1 `phosphate`"	"1 `L-histidine` + 1 `H2O` + 1 `ATP` "	" 1 `H(+)` + 1 `L-histidine` + 1 `ADP` + 1 `phosphate`"	"MNXR100644"	1
"Rh17"	"1 MNXM01@MNXD1 + 1 MNXM134@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD2"	"1 `H(+)` + 1 `L-histidine` = 1 `H(+)` + 1 `L-histidine`"	"1 `H(+)` + 1 `L-histidine` "	" 1 `H(+)` + 1 `L-histidine`"	"MNXR100645"	2
"Rh17"	"1 MNXM134@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM134@MNXD2 + 1 MNXM27@MNXD2"	"1 `L-histidine` + 1 `Na(+)` = 1 `L-histidine` + 1 `Na(+)`"	"1 `L-histidine` + 1 `Na(+)` "	" 1 `L-histidine` + 1 `Na(+)`"	"MNXR100646"	2
"Rh17"	"1 MNXM01@MNXD1 + 1 MNXM134@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD1"	"1 `H(+)` + 1 `L-histidine` = 1 `H(+)` + 1 `L-histidine`"	"1 `H(+)` + 1 `L-histidine` "	" 1 `H(+)` + 1 `L-histidine`"	"MNXR100647"	2
"Rh17"	"1 MNXM01@MNXD1 + 1 MNXM134@MNXD2 + 2 MNXM27@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD1 + 2 MNXM27@MNXD1"	"1 `H(+)` + 1 `L-histidine` + 2 `Na(+)` = 1 `H(+)` + 1 `L-histidine` + 2 `Na(+)`"	"1 `H(+)` + 1 `L-histidine` + 2 `Na(+)` "	" 1 `H(+)` + 1 `L-histidine` + 2 `Na(+)`"	"MNXR100648"	3
"Rh17"	"1 MNXM134@MNXD1 = 1 MNXM134@MNXD2"	"1 `L-histidine` = 1 `L-histidine`"	"1 `L-histidine` "	" 1 `L-histidine`"	"MNXR100649"	1
"Rh17"	"1 MNXM134@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM134@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1"	"1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine`"	"1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine` "	" 1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine`"	"MNXR100650"	3
"Rh17"	"1 MNXM01@MNXD1 + 1 MNXM134@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD2 + 1 MNXM70@MNXD1"	"1 `H(+)` + 1 `L-histidine` + 1 `L-arginine` = 1 `H(+)` + 1 `L-histidine` + 1 `L-arginine`"	"1 `H(+)` + 1 `L-histidine` + 1 `L-arginine` "	" 1 `H(+)` + 1 `L-histidine` + 1 `L-arginine`"	"MNXR100651"	3
"Rh17"	"1 MNXM134@MNXD1 + 1 MNXM78@MNXD2 = 1 MNXM134@MNXD2 + 1 MNXM78@MNXD1"	"1 `L-histidine` + 1 `L-lysine` = 1 `L-histidine` + 1 `L-lysine`"	"1 `L-histidine` + 1 `L-lysine` "	" 1 `L-histidine` + 1 `L-lysine`"	"MNXR105608"	2
"Rh17"	"1 MNXM134@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM134@MNXD2 + 1 MNXM70@MNXD1"	"1 `L-histidine` + 1 `L-arginine` = 1 `L-histidine` + 1 `L-arginine`"	"1 `L-histidine` + 1 `L-arginine` "	" 1 `L-histidine` + 1 `L-arginine`"	"MNXR105610"	2
"Rh17"	"1 MNXM134@MNXD1 + 1 MNXM89689@MNXD2 = 1 MNXM134@MNXD2 + 1 MNXM89689@MNXD1"	"1 `L-histidine` + 1 `L-ornithine` = 1 `L-histidine` + 1 `L-ornithine`"	"1 `L-histidine` + 1 `L-ornithine` "	" 1 `L-histidine` + 1 `L-ornithine`"	"MNXR105612"	2
