"type"	"id"	"name"	"reversible"	"fast"	"reactants"	"products"	"reactants_name"	"products_name"	"reaction_detail"
"STATE_TRANSITION"	"re1"	NA	FALSE	FALSE	"s41"	"s45,s17"	"Oxalosuccinate"	"_alpha_Ketoglutarate;CO_sub_2_endsub"	"Oxalosuccinate = _alpha_Ketoglutarate + CO_sub_2_endsub"
"STATE_TRANSITION"	"re2"	NA	TRUE	FALSE	"s46,s53"	"s48,s54"	"Succinyl-CoA;GDP + P_sub_i_endsub"	"Succinate;GTP"	"Succinyl-CoA + GDP + P_sub_i_endsub = Succinate + GTP"
"STATE_TRANSITION"	"re3"	NA	TRUE	FALSE	"s48,s55"	"s49,s56"	"Succinate;FAD"	"Fumarate;FADH_sub_2_endsub"	"Succinate + FAD = Fumarate + FADH_sub_2_endsub"
"STATE_TRANSITION"	"re4"	NA	TRUE	FALSE	"s49,s5"	"s50"	"Fumarate;H_sub_2_endsub_O"	"Malate"	"Fumarate + H_sub_2_endsub_O = Malate"
"STATE_TRANSITION"	"re5"	NA	TRUE	FALSE	"s50,s43"	"s51,s44"	"Malate;NAD_super_+_endsuper"	"Oxaloacetate;NADH+H_super_+_endsuper"	"Malate + NAD_super_+_endsuper = Oxaloacetate + NADH+H_super_+_endsuper"
"STATE_TRANSITION"	"re6"	NA	TRUE	FALSE	"s1"	"s4"	"alpha-D-Glucose-1P"	"alpha-D-Glucose 6P"	"alpha-D-Glucose-1P = alpha-D-Glucose 6P"
"STATE_TRANSITION"	"re7"	NA	TRUE	FALSE	"s4"	"s64"	"alpha-D-Glucose 6P"	"beta-D-Fructose 6P"	"alpha-D-Glucose 6P = beta-D-Fructose 6P"
"STATE_TRANSITION"	"re8"	NA	FALSE	FALSE	"s64"	"s6"	"beta-D-Fructose 6P"	"beta-D-Fructose 1,6P2"	"beta-D-Fructose 6P = beta-D-Fructose 1,6P2"
"STATE_TRANSITION"	"re9"	NA	TRUE	FALSE	"s6"	"s65"	"beta-D-Fructose 1,6P2"	"glyceraldehyde-3P"	"beta-D-Fructose 1,6P2 = glyceraldehyde-3P"
"STATE_TRANSITION"	"re10"	NA	TRUE	FALSE	"s65"	"s66"	"glyceraldehyde-3P"	"glycerate-1,3P2"	"glyceraldehyde-3P = glycerate-1,3P2"
"STATE_TRANSITION"	"re11"	NA	TRUE	FALSE	"s66"	"s67"	"glycerate-1,3P2"	"glycerate-3P"	"glycerate-1,3P2 = glycerate-3P"
"STATE_TRANSITION"	"re12"	NA	TRUE	FALSE	"s67"	"s68"	"glycerate-3P"	"glycerate-2P"	"glycerate-3P = glycerate-2P"
"STATE_TRANSITION"	"re13"	NA	TRUE	FALSE	"s68"	"s69"	"glycerate-2P"	"phosphoenol-pyruvate"	"glycerate-2P = phosphoenol-pyruvate"
"STATE_TRANSITION"	"re14"	NA	FALSE	FALSE	"s71"	"s4"	"alpha-D-Glucose"	"alpha-D-Glucose 6P"	"alpha-D-Glucose = alpha-D-Glucose 6P"
"STATE_TRANSITION"	"re15"	NA	TRUE	FALSE	"s71"	"s72"	"alpha-D-Glucose"	"beta-D-Glucose"	"alpha-D-Glucose = beta-D-Glucose"
