"rxnID"	"name"	"specie"	"id"	"type"	"MetaID"	"note"
"r_0964"	"ATP[c]"	"s1"	"sa1"	"reactant"	"CDMT00001"	"base"
"r_0964"	"glutathione[c]"	"s2"	"sa2"	"reactant"	"CDMT00002"	""
"r_0964"	"H2O[c]"	"s3"	"sa3"	"reactant"	"CDMT00003"	""
"r_0964"	"ADP[c]"	"s4"	"sa4"	"product"	"CDMT00004"	"base"
"r_0964"	"glutathione[v]"	"s5"	"sa5"	"product"	"CDMT00005"	""
"r_0964"	"H+[c]"	"s6"	"sa6"	"product"	"CDMT00006"	""
"r_0964"	"phosphate[c]"	"s7"	"sa7"	"product"	"CDMT00007"	""
"r_1028"	"ATP[c]"	"s1"	"sa8"	"reactant"	"CDMT00008"	""
"r_1028"	"H2O[c]"	"s3"	"sa9"	"reactant"	"CDMT00009"	""
"r_1028"	"taurocholic acid[c]"	"s8"	"sa10"	"reactant"	"CDMT000010"	"base"
"r_1028"	"ADP[c]"	"s4"	"sa11"	"product"	"CDMT000011"	""
"r_1028"	"H+[c]"	"s6"	"sa12"	"product"	"CDMT000012"	""
"r_1028"	"phosphate[c]"	"s7"	"sa13"	"product"	"CDMT000013"	""
"r_1028"	"taurocholic acid[v]"	"s9"	"sa14"	"product"	"CDMT000014"	"base"
"r_1096"	"(R)-mevalonate[e]"	"s10"	"sa15"	"reactant"	"CDMT000015"	"base"
"r_1096"	"(R)-mevalonate[c]"	"s11"	"sa16"	"product"	"CDMT000016"	"base"
"r_1097"	"(R,R)-2,3-butanediol[c]"	"s12"	"sa17"	"reactant"	"CDMT000017"	"base"
"r_1097"	"(R,R)-2,3-butanediol[e]"	"s13"	"sa18"	"product"	"CDMT000018"	"base"
"r_1098"	"2-methylbutyl acetate[c]"	"s14"	"sa19"	"reactant"	"CDMT000019"	"base"
"r_1098"	"2-methylbutyl acetate[e]"	"s15"	"sa20"	"product"	"CDMT000020"	"base"
"r_1099"	"2-oxoadipic acid[m]"	"s16"	"sa21"	"reactant"	"CDMT000021"	"base"
"r_1099"	"2-oxoglutarate[c]"	"s17"	"sa22"	"reactant"	"CDMT000022"	""
"r_1099"	"2-oxoadipic acid[c]"	"s18"	"sa23"	"product"	"CDMT000023"	"base"
"r_1099"	"2-oxoglutarate[m]"	"s19"	"sa24"	"product"	"CDMT000024"	""
"r_1100"	"3-hexaprenyl-4,5-dihydroxybenzoic acid[c]"	"s20"	"sa25"	"reactant"	"CDMT000025"	"base"
"r_1100"	"3-hexaprenyl-4,5-dihydroxybenzoic acid[m]"	"s21"	"sa26"	"product"	"CDMT000026"	"base"
"r_1101"	"gamma-aminobutyrate[e]"	"s22"	"sa27"	"reactant"	"CDMT000027"	"base"
"r_1101"	"H+[e]"	"s23"	"sa28"	"reactant"	"CDMT000028"	""
"r_1101"	"gamma-aminobutyrate[c]"	"s24"	"sa29"	"product"	"CDMT000029"	"base"
"r_1101"	"H+[c]"	"s6"	"sa30"	"product"	"CDMT000030"	""
"r_1102"	"5-aminolevulinate[e]"	"s25"	"sa31"	"reactant"	"CDMT000031"	"base"
"r_1102"	"H+[e]"	"s23"	"sa32"	"reactant"	"CDMT000032"	""
"r_1102"	"5-aminolevulinate[c]"	"s26"	"sa33"	"product"	"CDMT000033"	"base"
"r_1102"	"H+[c]"	"s6"	"sa34"	"product"	"CDMT000034"	""
"r_1103"	"5-formyltetrahydrofolic acid[e]"	"s27"	"sa35"	"reactant"	"CDMT000035"	"base"
"r_1103"	"5-formyltetrahydrofolic acid[c]"	"s28"	"sa36"	"product"	"CDMT000036"	"base"
"r_1104"	"8-amino-7-oxononanoate[e]"	"s29"	"sa37"	"reactant"	"CDMT000037"	"base"
"r_1104"	"H+[e]"	"s23"	"sa38"	"reactant"	"CDMT000038"	""
"r_1104"	"8-amino-7-oxononanoate[c]"	"s30"	"sa39"	"product"	"CDMT000039"	"base"
"r_1104"	"H+[c]"	"s6"	"sa40"	"product"	"CDMT000040"	""
"r_1106"	"acetate[c]"	"s31"	"sa41"	"reactant"	"CDMT000041"	"base"
"r_1106"	"acetate[e]"	"s32"	"sa42"	"product"	"CDMT000042"	"base"
"r_1107"	"ethyl acetate[c]"	"s33"	"sa43"	"reactant"	"CDMT000043"	"base"
"r_1107"	"ethyl acetate[e]"	"s34"	"sa44"	"product"	"CDMT000044"	"base"
"r_1108"	"adenine[e]"	"s35"	"sa45"	"reactant"	"CDMT000045"	"base"
"r_1108"	"H+[e]"	"s23"	"sa46"	"reactant"	"CDMT000046"	""
"r_1108"	"adenine[c]"	"s36"	"sa47"	"product"	"CDMT000047"	"base"
"r_1108"	"H+[c]"	"s6"	"sa48"	"product"	"CDMT000048"	""
"r_1109"	"adenosine[e]"	"s37"	"sa49"	"reactant"	"CDMT000049"	"base"
"r_1109"	"H+[e]"	"s23"	"sa50"	"reactant"	"CDMT000050"	""
"r_1109"	"adenosine[c]"	"s38"	"sa51"	"product"	"CDMT000051"	"base"
"r_1109"	"H+[c]"	"s6"	"sa52"	"product"	"CDMT000052"	""
"r_1110"	"ADP[c]"	"s4"	"sa53"	"reactant"	"CDMT000053"	"base"
"r_1110"	"ATP[m]"	"s39"	"sa54"	"reactant"	"CDMT000054"	""
"r_1110"	"ADP[m]"	"s40"	"sa55"	"product"	"CDMT000055"	"base"
"r_1110"	"ATP[c]"	"s1"	"sa56"	"product"	"CDMT000056"	""
"r_1111"	"ADP[p]"	"s41"	"sa57"	"reactant"	"CDMT000057"	"base"
"r_1111"	"ATP[c]"	"s1"	"sa58"	"reactant"	"CDMT000058"	""
"r_1111"	"H+[p]"	"s42"	"sa59"	"reactant"	"CDMT000059"	""
"r_1111"	"ADP[c]"	"s4"	"sa60"	"product"	"CDMT000060"	"base"
"r_1111"	"ATP[p]"	"s43"	"sa61"	"product"	"CDMT000061"	""
"r_1111"	"H+[c]"	"s6"	"sa62"	"product"	"CDMT000062"	""
"r_1112"	"2-oxoglutarate[c]"	"s17"	"sa63"	"reactant"	"CDMT000063"	""
"r_1112"	"citrate[m]"	"s44"	"sa64"	"reactant"	"CDMT000064"	"base"
"r_1112"	"2-oxoglutarate[m]"	"s19"	"sa65"	"product"	"CDMT000065"	""
"r_1112"	"citrate[c]"	"s45"	"sa66"	"product"	"CDMT000066"	"base"
"r_1113"	"allantoate[e]"	"s46"	"sa67"	"reactant"	"CDMT000067"	"base"
"r_1113"	"allantoate[c]"	"s47"	"sa68"	"product"	"CDMT000068"	"base"
"r_1114"	"allantoin[e]"	"s48"	"sa69"	"reactant"	"CDMT000069"	"base"
"r_1114"	"allantoin[c]"	"s49"	"sa70"	"product"	"CDMT000070"	"base"
"r_1115"	"ammonium[e]"	"s50"	"sa71"	"reactant"	"CDMT000071"	"base"
"r_1115"	"ammonium[c]"	"s51"	"sa72"	"product"	"CDMT000072"	"base"
"r_1116"	"AMP[p]"	"s52"	"sa73"	"reactant"	"CDMT000073"	"base"
"r_1116"	"ATP[c]"	"s1"	"sa74"	"reactant"	"CDMT000074"	""
"r_1116"	"H+[p]"	"s42"	"sa75"	"reactant"	"CDMT000075"	""
"r_1116"	"AMP[c]"	"s53"	"sa76"	"product"	"CDMT000076"	"base"
"r_1116"	"ATP[p]"	"s43"	"sa77"	"product"	"CDMT000077"	""
"r_1116"	"H+[c]"	"s6"	"sa78"	"product"	"CDMT000078"	""
"r_1118"	"L-aspartate[m]"	"s54"	"sa79"	"reactant"	"CDMT000079"	""
"r_1118"	"L-glutamate[c]"	"s55"	"sa80"	"reactant"	"CDMT000080"	"base"
"r_1118"	"L-aspartate[c]"	"s56"	"sa81"	"product"	"CDMT000081"	""
"r_1118"	"L-glutamate[m]"	"s57"	"sa82"	"product"	"CDMT000082"	"base"
"r_1119"	"biotin[e]"	"s58"	"sa83"	"reactant"	"CDMT000083"	"base"
"r_1119"	"H+[e]"	"s23"	"sa84"	"reactant"	"CDMT000084"	""
"r_1119"	"biotin[c]"	"s59"	"sa85"	"product"	"CDMT000085"	"base"
"r_1119"	"H+[c]"	"s6"	"sa86"	"product"	"CDMT000086"	""
"r_1120"	"(R)-carnitine[m]"	"s60"	"sa87"	"reactant"	"CDMT000087"	""
"r_1120"	"O-acetylcarnitine[c]"	"s61"	"sa88"	"reactant"	"CDMT000088"	"base"
"r_1120"	"(R)-carnitine[c]"	"s62"	"sa89"	"product"	"CDMT000089"	""
"r_1120"	"O-acetylcarnitine[m]"	"s63"	"sa90"	"product"	"CDMT000090"	"base"
"r_1121"	"ceramide-2' (C24)[er]"	"s64"	"sa91"	"reactant"	"CDMT000091"	"base"
"r_1121"	"ceramide-2' (C24)[g]"	"s65"	"sa92"	"product"	"CDMT000092"	"base"
"r_1122"	"ceramide-2' (C26)[er]"	"s66"	"sa93"	"reactant"	"CDMT000093"	"base"
"r_1122"	"ceramide-2' (C26)[g]"	"s67"	"sa94"	"product"	"CDMT000094"	"base"
"r_1123"	"ceramide-3 (C24)[er]"	"s68"	"sa95"	"reactant"	"CDMT000095"	"base"
"r_1123"	"ceramide-3 (C24)[g]"	"s69"	"sa96"	"product"	"CDMT000096"	"base"
"r_1124"	"ceramide-3 (C26)[er]"	"s70"	"sa97"	"reactant"	"CDMT000097"	"base"
"r_1124"	"ceramide-3 (C26)[g]"	"s71"	"sa98"	"product"	"CDMT000098"	"base"
"r_1125"	"choline[e]"	"s72"	"sa99"	"reactant"	"CDMT000099"	"base"
"r_1125"	"H+[e]"	"s23"	"sa100"	"reactant"	"CDMT0000100"	""
"r_1125"	"choline[c]"	"s73"	"sa101"	"product"	"CDMT0000101"	"base"
"r_1125"	"H+[c]"	"s6"	"sa102"	"product"	"CDMT0000102"	""
"r_1126"	"(S)-malate[m]"	"s74"	"sa103"	"reactant"	"CDMT0000103"	""
"r_1126"	"citrate[c]"	"s45"	"sa104"	"reactant"	"CDMT0000104"	"base"
"r_1126"	"(S)-malate[c]"	"s75"	"sa105"	"product"	"CDMT0000105"	""
"r_1126"	"citrate[m]"	"s44"	"sa106"	"product"	"CDMT0000106"	"base"
"r_1127"	"citrate[c]"	"s45"	"sa107"	"reactant"	"CDMT0000107"	"base"
"r_1127"	"phosphoenolpyruvate[m]"	"s76"	"sa108"	"reactant"	"CDMT0000108"	""
"r_1127"	"citrate[m]"	"s44"	"sa109"	"product"	"CDMT0000109"	"base"
"r_1127"	"phosphoenolpyruvate[c]"	"s77"	"sa110"	"product"	"CDMT0000110"	""
"r_1128"	"citrate[c]"	"s45"	"sa111"	"reactant"	"CDMT0000111"	"base"
"r_1128"	"isocitrate[m]"	"s78"	"sa112"	"reactant"	"CDMT0000112"	""
"r_1128"	"citrate[m]"	"s44"	"sa113"	"product"	"CDMT0000113"	"base"
"r_1128"	"isocitrate[c]"	"s79"	"sa114"	"product"	"CDMT0000114"	""
"r_1129"	"coenzyme A[c]"	"s80"	"sa115"	"reactant"	"CDMT0000115"	"base"
"r_1129"	"coenzyme A[m]"	"s81"	"sa116"	"product"	"CDMT0000116"	"base"
"r_1130"	"CMP[m]"	"s82"	"sa117"	"reactant"	"CDMT0000117"	"base"
"r_1130"	"CTP[c]"	"s83"	"sa118"	"reactant"	"CDMT0000118"	""
"r_1130"	"H+[c]"	"s6"	"sa119"	"reactant"	"CDMT0000119"	""
"r_1130"	"CMP[c]"	"s84"	"sa120"	"product"	"CDMT0000120"	"base"
"r_1130"	"CTP[m]"	"s85"	"sa121"	"product"	"CDMT0000121"	""
"r_1130"	"H+[m]"	"s86"	"sa122"	"product"	"CDMT0000122"	""
"r_1131"	"CMP[m]"	"s82"	"sa123"	"reactant"	"CDMT0000123"	"base"
"r_1131"	"CTP[c]"	"s83"	"sa124"	"reactant"	"CDMT0000124"	""
"r_1131"	"H+[c]"	"s6"	"sa125"	"reactant"	"CDMT0000125"	""
"r_1131"	"CMP[c]"	"s84"	"sa126"	"product"	"CDMT0000126"	"base"
"r_1131"	"CTP[m]"	"s85"	"sa127"	"product"	"CDMT0000127"	""
"r_1131"	"H+[m]"	"s86"	"sa128"	"product"	"CDMT0000128"	""
"r_1132"	"cytidine[e]"	"s87"	"sa129"	"reactant"	"CDMT0000129"	"base"
"r_1132"	"H+[e]"	"s23"	"sa130"	"reactant"	"CDMT0000130"	""
"r_1132"	"cytidine[c]"	"s88"	"sa131"	"product"	"CDMT0000131"	"base"
"r_1132"	"H+[c]"	"s6"	"sa132"	"product"	"CDMT0000132"	""
"r_1133"	"cytosine[e]"	"s89"	"sa133"	"reactant"	"CDMT0000133"	"base"
"r_1133"	"H+[e]"	"s23"	"sa134"	"reactant"	"CDMT0000134"	""
"r_1133"	"cytosine[c]"	"s90"	"sa135"	"product"	"CDMT0000135"	"base"
"r_1133"	"H+[c]"	"s6"	"sa136"	"product"	"CDMT0000136"	""
"r_1134"	"D-fructose[e]"	"s91"	"sa137"	"reactant"	"CDMT0000137"	"base"
"r_1134"	"H+[e]"	"s23"	"sa138"	"reactant"	"CDMT0000138"	""
"r_1134"	"D-fructose[c]"	"s92"	"sa139"	"product"	"CDMT0000139"	"base"
"r_1134"	"H+[c]"	"s6"	"sa140"	"product"	"CDMT0000140"	""
"r_1135"	"D-galactose[e]"	"s93"	"sa141"	"reactant"	"CDMT0000141"	"base"
"r_1135"	"H+[e]"	"s23"	"sa142"	"reactant"	"CDMT0000142"	""
"r_1135"	"D-galactose[c]"	"s94"	"sa143"	"product"	"CDMT0000143"	"base"
"r_1135"	"H+[c]"	"s6"	"sa144"	"product"	"CDMT0000144"	""
"r_1136"	"(R)-lactate[e]"	"s95"	"sa145"	"reactant"	"CDMT0000145"	"base"
"r_1136"	"H+[e]"	"s23"	"sa146"	"reactant"	"CDMT0000146"	""
"r_1136"	"(R)-lactate[c]"	"s96"	"sa147"	"product"	"CDMT0000147"	"base"
"r_1136"	"H+[c]"	"s6"	"sa148"	"product"	"CDMT0000148"	""
"r_1137"	"(R)-lactate[c]"	"s96"	"sa149"	"reactant"	"CDMT0000149"	"base"
"r_1137"	"H+[c]"	"s6"	"sa150"	"reactant"	"CDMT0000150"	""
"r_1137"	"(R)-lactate[m]"	"s97"	"sa151"	"product"	"CDMT0000151"	"base"
"r_1137"	"H+[m]"	"s86"	"sa152"	"product"	"CDMT0000152"	""
"r_1138"	"(R)-lactate[c]"	"s96"	"sa153"	"reactant"	"CDMT0000153"	"base"
"r_1138"	"pyruvate[m]"	"s98"	"sa154"	"reactant"	"CDMT0000154"	""
"r_1138"	"(R)-lactate[m]"	"s97"	"sa155"	"product"	"CDMT0000155"	"base"
"r_1138"	"pyruvate[c]"	"s99"	"sa156"	"product"	"CDMT0000156"	""
"r_1139"	"D-mannose[e]"	"s100"	"sa157"	"reactant"	"CDMT0000157"	"base"
"r_1139"	"H+[e]"	"s23"	"sa158"	"reactant"	"CDMT0000158"	""
"r_1139"	"D-mannose[c]"	"s101"	"sa159"	"product"	"CDMT0000159"	"base"
"r_1139"	"H+[c]"	"s6"	"sa160"	"product"	"CDMT0000160"	""
"r_1146"	"episterol[e]"	"s102"	"sa161"	"reactant"	"CDMT0000161"	"base"
"r_1146"	"episterol[c]"	"s103"	"sa162"	"product"	"CDMT0000162"	"base"
"r_1147"	"ergosterol[e]"	"s104"	"sa163"	"reactant"	"CDMT0000163"	"base"
"r_1147"	"ergosterol[c]"	"s105"	"sa164"	"product"	"CDMT0000164"	"base"
"r_1148"	"ergosterol[ce]"	"s106"	"sa165"	"reactant"	"CDMT0000165"	"base"
"r_1148"	"ergosterol[c]"	"s105"	"sa166"	"product"	"CDMT0000166"	"base"
"r_1149"	"ethanolamine[e]"	"s107"	"sa167"	"reactant"	"CDMT0000167"	"base"
"r_1149"	"ethanolamine[c]"	"s108"	"sa168"	"product"	"CDMT0000168"	"base"
"r_1151"	"FADH2[m]"	"s109"	"sa169"	"reactant"	"CDMT0000169"	"base"
"r_1151"	"FADH2[c]"	"s110"	"sa170"	"product"	"CDMT0000170"	"base"
"r_1161"	"fecosterol[e]"	"s111"	"sa171"	"reactant"	"CDMT0000171"	"base"
"r_1161"	"fecosterol[c]"	"s112"	"sa172"	"product"	"CDMT0000172"	"base"
"r_1162"	"fecosterol[ce]"	"s113"	"sa173"	"reactant"	"CDMT0000173"	"base"
"r_1162"	"fecosterol[c]"	"s112"	"sa174"	"product"	"CDMT0000174"	"base"
"r_1164"	"folate[e]"	"s114"	"sa175"	"reactant"	"CDMT0000175"	"base"
"r_1164"	"folate[c]"	"s115"	"sa176"	"product"	"CDMT0000176"	"base"
"r_1165"	"GDP-alpha-D-mannose[c]"	"s116"	"sa177"	"reactant"	"CDMT0000177"	"base"
"r_1165"	"GMP[g]"	"s117"	"sa178"	"reactant"	"CDMT0000178"	""
"r_1165"	"GDP-alpha-D-mannose[g]"	"s118"	"sa179"	"product"	"CDMT0000179"	"base"
"r_1165"	"GMP[c]"	"s119"	"sa180"	"product"	"CDMT0000180"	""
"r_1166"	"D-glucose[e]"	"s120"	"sa181"	"reactant"	"CDMT0000181"	"base"
"r_1166"	"D-glucose[c]"	"s121"	"sa182"	"product"	"CDMT0000182"	"base"
"r_1167"	"glutathione[e]"	"s122"	"sa183"	"reactant"	"CDMT0000183"	"base"
"r_1167"	"glutathione[c]"	"s2"	"sa184"	"product"	"CDMT0000184"	"base"
"r_1168"	"glutathione[c]"	"s2"	"sa185"	"reactant"	"CDMT0000185"	"base"
"r_1168"	"glutathione[v]"	"s5"	"sa186"	"product"	"CDMT0000186"	"base"
"r_1169"	"1-(sn-glycero-3-phospho)-1D-myo-inositol[e]"	"s123"	"sa187"	"reactant"	"CDMT0000187"	"base"
"r_1169"	"1-(sn-glycero-3-phospho)-1D-myo-inositol[c]"	"s124"	"sa188"	"product"	"CDMT0000188"	"base"
