"query"	"ko"	"orginal_s288c"
"1-EC1118_1F14_0012g"	""	NA
"2-EC1118_1F14_0023g"	""	NA
"3-EC1118_1F14_0034g"	""	NA
"4-EC1118_1F14_0045g"	""	NA
"5-EC1118_1F14_0056g"	"K01710"	NA
"6-EC1118_1F14_0078g"	""	NA
"7-EC1118_1F14_0089g"	"K01480"	NA
"8-EC1118_1F14_0100g"	"K03327"	"YHR032W;YDR338C"
"9-EC1118_1F14_0111g"	""	NA
"10-EC1118_1F14_0133g"	""	NA
"11-EC1118_1F14_0144g"	""	NA
"12-EC1118_1F14_0155g"	"K00459"	"YJR149W"
"13-EC1118_1N26_0012g"	"K01469"	"YKL215C"
"14-EC1118_1N26_0023g"	""	NA
"15-EC1118_1N26_0034g"	""	NA
"16-EC1118_1N26_0045g"	""	NA
"17-EC1118_1N26_0056g"	""	NA
"18-EC1118_1O4_6480g"	""	NA
"19-EC1118_1O4_6491g"	""	NA
"20-EC1118_1O4_6502g_NumOfGenes_2"	""	NA
"21-EC1118_1O4_6524g"	"K04564"	"YHR008C;YDR347W;YJR101W"
"22-EC1118_1O4_6535g"	""	NA
"23-EC1118_1O4_6546g"	"K00040"	NA
"24-EC1118_1O4_6557g"	""	NA
"25-EC1118_1O4_6568g"	""	NA
"26-EC1118_1O4_6579g"	""	NA
"27-EC1118_1O4_6612g"	"K17742"	NA
"28-EC1118_1O4_6623g"	"K00008"	"YJR159W;YDL246C"
"29-EC1118_1O4_6634g"	""	NA
"30-EC1118_1O4_6645g"	""	NA
"31-EC1118_1O4_6656g"	""	NA
"32-augustus_masked-1-AMHPLA_TAIW"	""	NA
"33-augustus_masked-1-AMHPLA_TAIW"	""	NA
"34-augustus_masked-1-AMHPLA_TAIW"	""	NA
"35-augustus_masked-1-AMHPLA_TAIW"	""	NA
"36-augustus_masked-2-CGIPLA_MA"	""	NA
"37-augustus_masked-2-CGIPLA_MA"	""	NA
"38-augustus_masked-2-CGIPLA_MA"	""	NA
"39-augustus_masked-2-CGIPLA_MA"	""	NA
"40-augustus_masked-3-ALIPLA_SA"	""	NA
"41-augustus_masked-3-ALIPLA_SA"	""	NA
"42-augustus_masked-3-ALIPLA_SA"	""	NA
"43-snap_masked-3-ALIPLA_SA"	""	NA
"44-PUT_AA_TRASP-R.14848-"	""	NA
"45-PUT_IRON_TRASP-R.14849-"	""	NA
"46-PUT_LAC_TRASP-R.14850-"	""	NA
