"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
1	"r_0001"	"(R)-lactate:ferricytochrome-c 2-oxidoreductase"	"s_0025[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c]"	"(R)-lactate[c] + 2 ferricytochrome c[m]  -> 2 ferrocytochrome c[m] + pyruvate[c]"	"(( YDL174C and YEL039C ) or ( YDL174C and YJR048W ) or ( YEL039C and YEL071W ) or ( YEL071W and YJR048W ))"	"pyruvate metabolism ( sce00620 )"	0	1000	0	"NA"	"1.1.2.4; 1.1.99.-"	"R00197"
2	"r_0002"	"(R)-lactate:ferricytochrome-c 2-oxidoreductase"	"s_0027[m] + 2 s_0709[m]  -> 2 s_0710[m] + s_1401[m]"	"(R)-lactate[m] + 2 ferricytochrome c[m]  -> 2 ferrocytochrome c[m] + pyruvate[m]"	"(( YDL178W and YEL039C ) or ( YDL178W and YJR048W ))"	"pyruvate metabolism ( sce00620 )"	0	1000	0	"NA"	"1.1.2.4; 1.1.99.-"	"R00197"
3	"r_0003"	"(R,R)-butanediol dehydrogenase"	"s_0035[c] + s_1198[c]  <=> s_0020[c] + s_0794[c] + s_1203[c]"	"(R,R)-2,3-butanediol[c] + NAD[c]  <=> (R)-acetoin[c] + H+[c] + NADH[c]"	"YAL060W"	"acetoin and butanediol biosynthesis"	-1000	1000	0	"NA"	"1.1.1.4"	"R02946"
4	"r_0004"	"(S)-lactate:ferricytochrome-c 2-oxidoreductase"	"s_0063[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c]"	"(S)-lactate[c] + 2 ferricytochrome c[m]  -> 2 ferrocytochrome c[m] + pyruvate[c]"	"(( YEL039C and YML054C ) or ( YJR048W and YML054C ))"	"pyruvate metabolism ( sce00620 )"	0	1000	0	"NA"	"1.1.2.3"	"R00196"
5	"r_0005"	"1,3-beta-glucan synthase"	"s_1543[c]  -> s_0001[ce] + s_0794[c] + s_1538[c]"	"UDP-D-glucose[c]  -> (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]"	"( YGR032W or YLR342W )"	"starch and sucrose metabolism ( sce00500 )"	0	1000	0	"pmid:7649185"	"2.4.1.34"	"R03118"
6	"r_0006"	"1,6-beta-glucan synthase"	"s_1543[c]  -> s_0004[ce] + s_0794[c] + s_1538[c]"	"UDP-D-glucose[c]  -> (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]"	"( YGR143W or YPR159W )"	"starch and sucrose metabolism ( sce00500 )"	0	1000	0	"pmid:8321211"	"NA"	"NA"
7	"r_0007"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase"	"s_0077[c]  -> s_0312[c]"	"1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c]  -> 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c]"	"YIL020C"	"histidine metabolism ( sce00340 )"	0	1000	0	"NA"	"5.3.1.16"	"R04640"
8	"r_0012"	"1-pyrroline-5-carboxylate dehydrogenase"	"s_0119[m] + 2 s_0807[m] + s_1200[m]  <=> s_0799[m] + s_0993[m] + s_1205[m]"	"1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m]  <=> H+[m] + L-glutamate[m] + NADH[m]"	"YHR037W"	"alanine, aspartate and glutamate metabolism ( sce00250 )"	-1000	1000	0	"pmid:387737"	"1.2.1.88"	"NA"
9	"r_0013"	"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction"	"s_0311[c] + 3 s_0803[c]  -> s_0294[c] + s_0722[c] + 6 s_0794[c] + s_1322[c]"	"5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c]  -> 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c]"	"( YEL038W and YMR009W )"	"cysteine and methionine metabolism ( sce00270 )"	0	1000	0	"pmid:14506228"	"1.13.11.54; 3.1.3.77"	"NA"
10	"r_0014"	"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase"	"s_0142[c] + s_0794[c] + s_0803[c]  -> s_0313[c] + s_0419[c]"	"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c]  -> 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]"	"YOL066C"	"riboflavin metabolism ( sce00740 )"	0	1000	0	"pmid:9068650"	"3.5.4.26; 5.4.99.28"	"NA"
11	"r_0015"	"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)"	"s_0141[c] + s_0794[c] + s_1212[c]  -> s_0142[c] + s_1207[c]"	"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c]  -> 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]"	"YBR153W"	"riboflavin metabolism ( sce00740 )"	0	1000	0	"pmid:9068650"	"1.1.1.302"	"R09376"
12	"r_0016"	"2-aceto-2-hydroxybutanoate synthase"	"s_0179[m] + s_0799[m] + s_1401[m]  -> s_0039[m] + s_0460[m]"	"2-oxobutanoate[m] + H+[m] + pyruvate[m]  -> (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]"	"(( YCL009C and YMR108W ) or YMR108W )"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"pmid:8972574"	"2.2.1.6"	"R08648"
13	"r_0017"	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase"	"s_0148[m] + s_0437[m]  -> s_0006[m] + s_0424[m] + s_0799[m]"	"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m]  -> (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]"	"YNL256W"	"folate biosynthesis ( sce00790 )"	0	1000	0	"NA"	"2.5.1.15; 2.7.6.3; 4.1.2.25"	"R03503"
