"id"	"species"	"name"	"x"	"y"	"rxnID"	"type"	"MetaID"
"sa1"	"s1"	"ATP[c]"	""	""	"r_0964"	"reactant"	"CDMT00001"
"sa2"	"s2"	"glutathione[c]"	""	""	"r_0964"	"reactant"	"CDMT00002"
"sa3"	"s3"	"H2O[c]"	""	""	"r_0964"	"reactant"	"CDMT00003"
"sa4"	"s4"	"ADP[c]"	""	""	"r_0964"	"product"	"CDMT00004"
"sa5"	"s5"	"glutathione[v]"	""	""	"r_0964"	"product"	"CDMT00005"
"sa6"	"s6"	"H+[c]"	""	""	"r_0964"	"product"	"CDMT00006"
"sa7"	"s7"	"phosphate[c]"	""	""	"r_0964"	"product"	"CDMT00007"
"sa8"	"s1"	"ATP[c]"	""	""	"r_1028"	"reactant"	"CDMT00008"
"sa9"	"s3"	"H2O[c]"	""	""	"r_1028"	"reactant"	"CDMT00009"
"sa10"	"s8"	"taurocholic acid[c]"	""	""	"r_1028"	"reactant"	"CDMT000010"
"sa11"	"s4"	"ADP[c]"	""	""	"r_1028"	"product"	"CDMT000011"
"sa12"	"s6"	"H+[c]"	""	""	"r_1028"	"product"	"CDMT000012"
"sa13"	"s7"	"phosphate[c]"	""	""	"r_1028"	"product"	"CDMT000013"
"sa14"	"s9"	"taurocholic acid[v]"	""	""	"r_1028"	"product"	"CDMT000014"
"sa15"	"s10"	"(R)-mevalonate[e]"	""	""	"r_1096"	"reactant"	"CDMT000015"
"sa16"	"s11"	"(R)-mevalonate[c]"	""	""	"r_1096"	"product"	"CDMT000016"
"sa17"	"s12"	"(R,R)-2,3-butanediol[c]"	""	""	"r_1097"	"reactant"	"CDMT000017"
"sa18"	"s13"	"(R,R)-2,3-butanediol[e]"	""	""	"r_1097"	"product"	"CDMT000018"
"sa19"	"s14"	"2-methylbutyl acetate[c]"	""	""	"r_1098"	"reactant"	"CDMT000019"
"sa20"	"s15"	"2-methylbutyl acetate[e]"	""	""	"r_1098"	"product"	"CDMT000020"
"sa21"	"s16"	"2-oxoadipic acid[m]"	""	""	"r_1099"	"reactant"	"CDMT000021"
"sa22"	"s17"	"2-oxoglutarate[c]"	""	""	"r_1099"	"reactant"	"CDMT000022"
"sa23"	"s18"	"2-oxoadipic acid[c]"	""	""	"r_1099"	"product"	"CDMT000023"
"sa24"	"s19"	"2-oxoglutarate[m]"	""	""	"r_1099"	"product"	"CDMT000024"
"sa25"	"s20"	"3-hexaprenyl-4,5-dihydroxybenzoic acid[c]"	""	""	"r_1100"	"reactant"	"CDMT000025"
"sa26"	"s21"	"3-hexaprenyl-4,5-dihydroxybenzoic acid[m]"	""	""	"r_1100"	"product"	"CDMT000026"
"sa27"	"s22"	"gamma-aminobutyrate[e]"	""	""	"r_1101"	"reactant"	"CDMT000027"
"sa28"	"s23"	"H+[e]"	""	""	"r_1101"	"reactant"	"CDMT000028"
"sa29"	"s24"	"gamma-aminobutyrate[c]"	""	""	"r_1101"	"product"	"CDMT000029"
"sa30"	"s6"	"H+[c]"	""	""	"r_1101"	"product"	"CDMT000030"
"sa31"	"s25"	"5-aminolevulinate[e]"	""	""	"r_1102"	"reactant"	"CDMT000031"
"sa32"	"s23"	"H+[e]"	""	""	"r_1102"	"reactant"	"CDMT000032"
