"MNXID"	"panID"	"EC"	"Equation"	"Description"
"MNXR95554"	"7-EC1118_1F14_0089g"	"3.5.3.11"	"1 MNXM117@MNXD1 + 1 MNXM118@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM328@MNXD1"	"1 `urea` + 1 `putrescine` = 1 `H2O` + 1 `agmatine`"
"MNXR106724"	"27-EC1118_1O4_6612g;249-augustus_masked-4896-BLT_2"	"1.1.1.138"	"1 MNXM1@MNXD1 + 1 MNXM175@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM615@MNXD1"	"1 `H(+)` + 1 `D-fructose` + 1 `NADPH` = 1 `NADP(+)` + 1 `D-mannitol`"
"MNXR97317"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM1434@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM41@MNXD1"	"1 `melibiose` + 1 `H2O` = 1 `alpha-D-galactose` + 1 `D-glucose`"
"MNXR97918"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM182@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM52342@MNXD1"	"1 `D-mannose` + 1 `alpha-D-galactose` = 1 `H2O` + 1 `epimelibiose`"
"MNXR99984"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM127@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM878@MNXD1"	"1 `myo-inositol` + 1 `alpha-D-galactose` = 1 `H2O` + 1 `alpha-D-galactosyl-(1->3)-1D-myo-inositol`"
"MNXR100008"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM17986@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1"	"1 `galactomannan` + 1 `H2O` = 1 `alpha-D-galactose`"
"MNXR100009"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM17991@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1"	"1 `Galactose oligosaccharide` + 1 `H2O` = 1 `alpha-D-galactose`"
"MNXR100010"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM1503@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM621@MNXD1"	"1 `stachyose` + 1 `H2O` = 1 `alpha-D-galactose` + 1 `raffinose`"
"MNXR100115"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM2@MNXD1 + 1 MNXM2608@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM89612@MNXD1"	"1 `H2O` + 1 `3-beta-D-galactosyl-sn-glycerol` = 1 `alpha-D-galactose` + 1 `glycerol`"
"MNXR101463"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM2@MNXD1 + 1 MNXM61338@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM469@MNXD1"	"1 `H2O` + 1 `melibiitol` = 1 `alpha-D-galactose` + 1 `D-sorbitol`"
"MNXR101747"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM1434@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM61111@MNXD1"	"1 `melibiose` + 1 `alpha-D-galactose` = 1 `H2O` + 1 `manninotriose`"
"MNXR103419"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM167@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM621@MNXD1"	"1 `sucrose` + 1 `alpha-D-galactose` = 1 `H2O` + 1 `raffinose`"
"MNXR108300"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM269@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM585@MNXD1"	"1 `beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-N-acylsphing-4-enine` + 1 `alpha-D-galactose` = 1 `H2O` + 1 `an alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-N-acylsphing-4-enine`"
"MNXR108596"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"5 MNXM1@MNXD1 + 1 MNXM1921@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM545@MNXD1"	"5 `H(+)` + 1 `digalactosylceramide` + 1 `H2O` = 1 `alpha-D-galactose` + 1 `an N-acyl-beta-D-galactosyl-sphing-4-enine`"
"MNXR108908"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM1888@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM910@MNXD1"	"1 `1,2-diacyl-3-O-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol` + 1 `H2O` = 1 `alpha-D-galactose` + 1 `a 1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol`"
"MNXR117341"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM2@MNXD1 + 1 MNXM41032@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM96280@MNXD1"	"1 `H2O` + 1 `alpha-D-galactoside` = 1 `alpha-D-galactose` + 1 `Non-Galactosylated-Galactose-Acceptors`"
"MNXR121188"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM14780@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM390@MNXD1 + 1 MNXM526@MNXD1"	"1 `4-nitrophenyl-alpha-D-galactoside` + 1 `H2O` = 1 `H(+)` + 1 `alpha-D-galactose` + 1 `4-nitrophenol`"
