"panID"	"GNL"	"Source"	"proteinID"	"ec"	"pident"	"length"	"mismatch"	"gapopen"	"qstart"	"qend"	"sstart"	"send"	"evalues"	"bitscore"	"gene"	"ortholog"
"69-augustus_masked-11590-BAL_7"	"gnl"	"TC-DB"	"P40100"	"9.A.26.1.3"	86.8	303	40	0	1	909	1	303	3.8e-140	494.2	"YER185W"	"YER185W"
"95-augustus_masked-1364-CFF_4"	"gnl"	"TC-DB"	"P25560"	"9.B.82.1.1"	96.3	188	7	0	1	564	1	188	1.8e-100	361.7	"YCL001W"	"YCL001W"
"95-augustus_masked-1364-CFF_4"	"gnl"	"TC-DB"	"O15258"	"9.B.82.1.2"	51	157	77	0	79	549	28	184	2.9e-45	178.3	NA	"YCL001W"
"95-augustus_masked-1364-CFF_4"	"gnl"	"TC-DB"	"O48670"	"9.B.82.1.3"	50.6	162	79	1	79	564	25	185	1.1e-41	166.4	NA	"YCL001W"
"98-augustus_masked-1375-CFF_4"	"gnl"	"TC-DB"	"P40445"	"2.A.1.14.38"	97.2	542	15	0	1	1626	1	542	4.9e-308	1052.7	"YIL166C"	"YIL166C"
"120-augustus_masked-1671-AIE_1"	"gnl"	"TC-DB"	"P40550"	"3.A.1.205.8"	96.6	1412	47	1	1	4236	1	1411	0	2698.7	"YIL013C"	"YIL013C"
"120-augustus_masked-1671-AIE_1"	"gnl"	"TC-DB"	"Q08409"	"3.A.1.205.15"	65.6	1403	458	8	1	4188	1	1385	0	1810.8	"YOR011W"	"YIL013C"
"120-augustus_masked-1671-AIE_1"	"gnl"	"TC-DB"	"Q6FUR1"	"3.A.1.205.13"	62.9	1435	467	11	1	4218	1	1398	0	1707.2	NA	"YIL013C"
"134-augustus_masked-1700-AIE_1"	"gnl"	"TC-DB"	"Q06451"	"2.A.1.2.66"	97.4	622	16	0	1	1866	1	622	0	1129.4	"YPR156C"	"YPR156C"
"134-augustus_masked-1700-AIE_1"	"gnl"	"TC-DB"	"P53283"	"2.A.1.2.67"	84.6	622	87	3	1	1866	1	613	1.7e-272	934.9	"YGR138C"	"YPR156C"
"134-augustus_masked-1700-AIE_1"	"gnl"	"TC-DB"	"B6H9Q3"	"2.A.1.2.85"	52.5	583	249	6	97	1839	7	563	2.7e-161	565.5	NA	"YPR156C"
"157-augustus_masked-2154-BRV_4"	"gnl"	"TC-DB"	"P38360"	"3.A.3.5.14"	81.3	1071	193	5	625	3825	149	1216	0	1647.5	"YBR295W"	"YBR295W"
"177-augustus_masked-2802-CPI_4"	"gnl"	"TC-DB"	"Q08280"	"2.A.1.7.13"	94.1	490	29	0	118	1587	8	497	7.1e-267	916	"YOL137W"	"YOL137W"
"193-augustus_masked-2860-CPI_4"	"gnl"	"TC-DB"	"P38359"	"2.A.53.1.1"	94.9	859	44	0	16	2592	1	859	0	1639.8	"YBR294W"	"YBR294W"
"193-augustus_masked-2860-CPI_4"	"gnl"	"TC-DB"	"Q12325"	"2.A.53.1.13"	63.3	893	275	10	37	2592	13	893	0	1078.9	"YLR092W"	"YBR294W"
"194-augustus_masked-2860-CPI_4"	"gnl"	"TC-DB"	"P38358"	"2.A.1.48.2"	94.7	474	25	0	262	1683	1	474	6.8e-244	839.7	"YBR293W"	"YBR293W"
"205-augustus_masked-3001-BGP_1"	"gnl"	"TC-DB"	"Q08269"	"1.A.35.2.1"	64	860	262	4	1	2439	1	859	2.4e-298	1021.1	"YOL130W"	"YFL050C"
"212-augustus_masked-3105-AHL_3"	"gnl"	"TC-DB"	"P36033"	"5.B.1.5.3"	93.4	711	47	0	1	2133	1	711	0	1337.4	"YKL220C"	"YKL220C"
