"Pangenomic ORFs ID"	"Annotation Name"	"Ortholog in SGD_2010"	"S288c collapsed ORFs"	"exist_in_pan"	"not_in_pan"	"Remark"	"gene_simple"
20	"20-EC1118_1O4_6502g_NumOfGenes_2"	NA	"EC1118_1O4_6502g,EC1118_1O4_6513g"	"EC1118_1O4_6502g"	"EC1118_1O4_6513g"	NA	"EC1118_1O4_6502g"
1866	"1866-YAR060C_NumOfGenes_2"	NA	"YAR060C,YHR212C"	"YAR060C"	"YHR212C"	"paralog"	"YAR060C"
1867	"1867-YAR066W_NumOfGenes_3"	NA	"YAR066W,YHR214W"	"YAR066W"	"YHR214W"	"paralog"	"YAR066W"
1868	"1868-YAR068W_NumOfGenes_3"	NA	"YAR068W,YHR214W-A"	"YAR068W"	"YHR214W-A"	"paralog"	"YAR068W"
1869	"1869-YAR070C_NumOfGenes_2"	NA	"YAR070C,YHR214C-E"	"YAR070C"	"YHR214C-E"	"YAR070C has a paralog, YHR214C-B"	"YAR070C"
2045	"2045-YBR063C_NumOfGenes_2"	NA	"YBR063C,YBR064W"	"YBR063C"	"YBR064W"	"YBR064W partially overlaps the uncharacterized ORF YBR063C"	"YBR063C"
2296	"2296-YCL005W-A_NumOfGenes_2"	NA	"YCL005W-A,YCL007C"	"YCL005W-A"	"YCL007C"	"YCL007C overlaps verified ORF YCL005W-A"	"YCL005W-A"
2307	"2307-YCL022C_NumOfGenes_2"	NA	"YCL022C,YCL024W"	"YCL022C"	"YCL024W"	"YCL022C completely overlaps verified gene KCC4/YCL024W"	"YCL022C"
2391	"2391-YCR040W_NumOfGenes_2"	NA	"YCR040W,YCL066W"	"YCR040W"	"YCL066W"	"Same function?"	"YCR040W"
2392	"2392-YCR041W_NumOfGenes_2"	NA	"YCR041W,YCL065W"	"YCR041W"	"YCL065W"	"YCL065W. Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps HMLALPHA1"	"YCR041W"
2396	"2396-YCR045W-A_NumOfGenes_2"	NA	"YCR045W-A,YCR045C"	"YCR045W-A"	"YCR045C"	NA	"YCR045W-A"
2450	"2450-YCR107W_NumOfGenes_4"	NA	"YCR107W,YOL165C"	"YCR107W"	"YOL165C"	NA	"YCR107W"
2462	"2462-YDL010W_NumOfGenes_2"	NA	"YDL010W,YDL011C"	"YDL010W"	"YDL011C"	NA	"YDL010W"
2499	"2499-YDL051W_NumOfGenes_2"	NA	"YDL051W,YDL050C"	"YDL051W"	"YDL050C"	NA	"YDL051W"
2610	"2610-YDL164C_NumOfGenes_2"	NA	"YDL164C,YDL163W"	"YDL164C"	"YDL163W"	NA	"YDL164C"
2689	"2689-YDL247W_NumOfGenes_2"	NA	"YDL247W,YJR160C"	"YDL247W"	"YJR160C"	NA	"YDL247W"
2698	"2698-YDR007W_NumOfGenes_2"	NA	"YDR007W,YDR008C"	"YDR007W"	"YDR008C"	NA	"YDR007W"
2730	"2730-YDR038C_NumOfGenes_3"	NA	"YDR038C,YDR039C,YDR040C"	"YDR038C"	"YDR039C;YDR040C"	NA	"YDR038C"
2742	"2742-YDR052C_NumOfGenes_2"	NA	"YDR052C,YDR053W"	"YDR052C"	"YDR053W"	NA	"YDR052C"
3035	"3035-YDR342C_NumOfGenes_2"	NA	"YDR342C,YDR343C"	"YDR342C"	"YDR343C"	NA	"YDR342C"
3094	"3094-YDR402C_NumOfGenes_2"	NA	"YDR402C,YDR401W"	"YDR402C"	"YDR401W"	NA	"YDR402C"
3209	"3209-YDR520C_NumOfGenes_2"	NA	"YDR520C,YDR521W"	"YDR520C"	"YDR521W"	NA	"YDR520C"
3218	"3218-YDR527W_NumOfGenes_2"	NA	"YDR526C,YDR527W"	"YDR527W"	"YDR526C"	NA	"YDR527W"
3228	"3228-YDR538W_NumOfGenes_2"	NA	"YDR538W,YDR537C"	"YDR538W"	"YDR537C"	NA	"YDR538W"
3309	"3309-YEL075W-A_NumOfGenes_2"	NA	"YEL075W-A,YLR463C"	"YEL075W-A"	"YLR463C"	NA	"YEL075W-A"
3388	"3388-YER067W_NumOfGenes_2"	NA	"YER067W,YER067C-A"	"YER067W"	"YER067C-A"	NA	"YER067W"
3464	"3464-YER134C_NumOfGenes_2"	NA	"YER133W-A,YER134C"	"YER134C"	"YER133W-A"	NA	"YER134C"
3519	"3519-YER188C-A_NumOfGenes_9"	NA	"YER188C-A,YDR543C,YJR162C,YNL337W,YFL063W"	"YER188C-A"	"YDR543C;YJR162C;YNL337W;YFL063W"	NA	"YER188C-A"
3534	"3534-YFL013C_NumOfGenes_2"	NA	"YFL013C,YFL013W-A"	"YFL013C"	"YFL013W-A"	NA	"YFL013C"
3536	"3536-YFL015W-A_NumOfGenes_2"	NA	"YFL015W-A,YFL015C"	"YFL015W-A"	"YFL015C"	NA	"YFL015W-A"
3543	"3543-YFL021W_NumOfGenes_2"	NA	"YFL021W,YFL021C-A"	"YFL021W"	"YFL021C-A"	NA	"YFL021W"
3581	"3581-YFL059W_NumOfGenes_3"	NA	"YFL059W,YNL333W"	"YFL059W"	"YNL333W"	NA	"YFL059W"
3582	"3582-YFL061W_NumOfGenes_3"	NA	"YFL061W,YNL335W"	"YFL061W"	"YNL335W"	NA	"YFL061W"
3592	"3592-YFR009W_NumOfGenes_2"	NA	"YFR009W,YFR009W-A"	"YFR009W"	"YFR009W-A"	NA	"YFR009W"
3689	"3689-YGL041W-A_NumOfGenes_2"	NA	"YGL041C,YGL041W-A"	"YGL041W-A"	"YGL041C"	NA	"YGL041W-A"
3698	"3698-YGL051W_NumOfGenes_2"	NA	"YGL051W,YAR033W"	"YGL051W"	"YAR033W"	NA	"YGL051W"
3875	"3875-YGL236C_NumOfGenes_2"	NA	"YGL236C,YGL235W"	"YGL236C"	"YGL235W"	NA	"YGL236C"
4190	"4190-YGR291C_NumOfGenes_2"	NA	"YGR291C,YBR298C-A"	"YGR291C"	"YBR298C-A"	NA	"YGR291C"
