ID	Abbreviation	Description_new	Description	GPR	Subsystem_new	KEGG ID	IsReversible
1	R_EX_etoh_e	M_etoh_e <=>	Ethanol exchange	NA	NA	NA	FALSE
2	R_GLYCt	M_glyc_c <=> M_glyc_e	Glycerol transport via channel	NA	NA	NA	TRUE
3	R_dtmpSYN	M_dcmp_c + M_h2o_c + 2 M_h_c + M_mlthf_c + M_nadph_c <=> M_dtmp_c + M_nadp_c + M_nh4_c + M_thf_c	dtmpSYN	NA	NA	NA	FALSE
4	R_TREH	M_h2o_c + M_tre_c <=> 2 M_glc_D_c	Alpha,alpha-trehalase	NA	NA	R00010	FALSE
5	R_EX_pi_e	M_pi_e <=>	Phosphate exchange	NA	NA	NA	FALSE
6	R_ADSK	M_aps_c + M_atp_c <=> M_adp_c + M_h_c + M_paps_c	Adenylyl-sulfate kinase	NA	sulfur metabolism ( sce00920 )	R00509	FALSE
7	R_PRMICIi	M_prfp_c <=> M_prlp_c	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	NA	histidine metabolism ( sce00340 )	R04640	FALSE
8	R_ALDD2x	M_acald_c + M_h2o_c + M_nad_c <=> M_ac_c + 2 M_h_c + M_nadh_c	Aldehyde dehydrogenase (acetaldehyde, NAD)	NA	glycolysis / gluconeogenesis ( sce00010 )	R00710	FALSE
9	R_ALDD2y	M_acald_c + M_h2o_c + M_nadp_c <=> M_ac_c + 2 M_h_c + M_nadph_c	Aldehyde dehydrogenase (acetaldehyde, NADP)	NA	glycolysis / gluconeogenesis ( sce00010 )	R00711	FALSE
10	R_SUCCt2r	M_h_e + M_succ_e <=> M_h_c + M_succ_c	Succinate transport via proton symport	NA	NA	NA	TRUE
11	R_IPPMIa	M_3c2hmp_c <=> M_2ippm_c + M_h2o_c	3-isopropylmalate dehydratase	NA	valine, leucine and isoleucine metabolism	R04001	TRUE
12	R_IPPMIb	M_2ippm_c + M_h2o_c <=> M_3c3hmp_c	2-isopropylmalate hydratase	NA	valine, leucine and isoleucine metabolism	R03968	TRUE
13	R_EX_o2_e	M_o2_e <=>	O2 exchange	NA	NA	NA	FALSE
