"ID"	"compostion"	"mnxID"	"Formula"	"Charge"	"Description"
"Rh3"	"reactant"	"MNXM127148"	"C3H5NOSR2"	"0"	"L-cysteine residue"
"Rh3"	"reactant"	"MNXM249"	"C34H30FeN4O4"	"-2"	"heme b"
"Rh3"	"product"	"MNXM147124"	"C40H40FeN6O6S2R4"	"-2"	"holocytochrome c residue"
"Rh8"	"reactant"	"MNXM145730"	"C14H17N6O9PR"	"-1"	"3'-(L-aspartate)adenylyl group"
"Rh8"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh8"	"reactant"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh8"	"reactant"	"MNXM37"	"C5H10N2O3"	"0"	"L-glutamine"
"Rh8"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh8"	"product"	"MNXM146071"	"C14H18N7O8PR"	"-1"	"3'-(L-asparaginyl)adenylyl group"
"Rh8"	"product"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh8"	"product"	"MNXM89557"	"C5H8NO4"	"-1"	"L-glutamate"
"Rh8"	"product"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh9"	"reactant"	"MNXM11176"	"(C5H8)n.C66H112N2O42P2"	"-2"	"alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol"
"Rh9"	"reactant"	"MNXM7322"	"C26H46O9P(C5H8)n"	"-1"	"dolichyl beta-D-mannosyl phosphate"
"Rh9"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh9"	"product"	"MNXM11177"	"(C5H8)n.C72H122N2O47P2"	"-2"	"alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol"
"Rh9"	"product"	"MNXM278"	"C20H35O4P(C5H8)n"	"-2"	"dolichyl phosphate"
"Rh10"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh10"	"reactant"	"MNXM59267"	"C8H16N2O3S"	"0"	"Ala-Met"
"Rh10"	"reactant"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh10"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh10"	"product"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh10"	"product"	"MNXM32"	"C3H7NO2"	"0"	"L-alanine"
"Rh10"	"product"	"MNXM61"	"C5H11NO2S"	"0"	"L-methionine"
"Rh11"	"reactant"	"MNXM198"	"C12H22O11"	"0"	"alpha,alpha-trehalose"
"Rh11"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh11"	"product"	"MNXM41"	"C6H12O6"	"0"	"D-glucose"
"Rh12"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh12"	"reactant"	"MNXM5039"	"C15H20N5O17P3"	"-4"	"ADP-D-ribose 1''-phosphate"
"Rh12"	"product"	"MNXM48596"	"C15H21N5O14P2"	"-2"	"ADP-D-ribose"
"Rh12"	"product"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh13"	"reactant"	"MNXM163252"	"C6HO2R4"	"0"	"a 1,4-benzosemiquinone"
"Rh13"	"reactant"	"MNXM5"	"C21H25N7O17P3"	"-3"	"NADP(+)"
"Rh13"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh13"	"product"	"MNXM6"	"C21H26N7O17P3"	"-4"	"NADPH"
"Rh13"	"product"	"MNXM769"	"C6O2R4"	"0"	"a 1,4-benzoquinone"
"Rh15"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh15"	"reactant"	"MNXM116"	"C5H9O8P"	"-2"	"D-ribose 5-phosphate"
"Rh15"	"reactant"	"MNXM14"	"C10H12N5O7P"	"-2"	"AMP"
"Rh15"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh15"	"product"	"MNXM48596"	"C15H21N5O14P2"	"-2"	"ADP-D-ribose"
"Rh21"	"reactant"	"MNXM11"	"HO7P2"	"-3"	"diphosphate"
