Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_0001	pyruvate metabolism ( sce00620 )	"/ sce00920 Sulfur metabolism; ito980"
r_0002	pyruvate metabolism ( sce00620 )	"/ sce00920 Sulfur metabolism; MNX"
r_0003	acetoin and butanediol biosynthesis	No change
r_0004	pyruvate metabolism ( sce00620 )	"/ sce00920 Sulfur metabolism; ito980"
r_0005	starch and sucrose metabolism ( sce00500 )	"/ sce04011 MAPK signaling pathway – yeast; ito980"
r_0006	starch and sucrose metabolism ( sce00500 )	ito980
r_0007	histidine metabolism ( sce00340 )	ito980
r_0012	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00330 Arginine and proline metabolism; ito980"
r_0013	cysteine and methionine metabolism ( sce00270 )	No change
r_0014	riboflavin metabolism ( sce00740 )	No change
r_0015	riboflavin metabolism ( sce00740 )	No change
r_0016	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce00650 Butanoate metabolism / sce00660 C5-Branched dibasic acid metabolism / sce00770 Pantothenate and CoA biosynthesis / sce01210 2-Oxocarboxylic acid metabolism ; From ito980"
r_0017	folate biosynthesis ( sce00790 )	No change
r_0018	lysine metabolism	"sce00300 Lysine biosynthesis/sce00130 Ubiquinone and other terpenoid-quinone biosynthesis / sce00270 Cysteine and methionine metabolism / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00380 Tryptophan metabolism / sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; MNX"
r_0019	pantothenate and coa biosynthesis ( sce00770 )	ito980
r_0020	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	ito980
r_0021	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	No change
r_0022	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	No change
r_0023	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0024	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0025	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0026	cysteine and methionine metabolism ( sce00270 )	imm904
r_0027	lysine metabolism	"sce00300 Lysine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0028	propanoate metabolism ( sce00640 )	"sce00020 Citrate cycle (TCA cycle) / sce00630 Glyoxylate and dicarboxylate metabolism / sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0029	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/sce00270 Cysteine and methionine metabolism / sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0030	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/sce00270 Cysteine and methionine metabolism / sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0032	sulfur metabolism ( sce00920 )	No change
r_0033	purine metabolism ( sce00230 )	No change
r_0034	purine metabolism ( sce00230 )	No change
r_0035	purine metabolism ( sce00230 )	No change
r_0036	purine metabolism ( sce00230 )	No change
r_0037	purine metabolism ( sce00230 )	No change
r_0038	riboflavin metabolism ( sce00740 )	ito980
r_0039	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	ito980
r_0040	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	ito980
r_0041	sphingolipid metabolism ( sce00600 )	No change
r_0042	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	ito980
r_0043	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	imm904
r_0044	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	imm904
r_0045	tryptophan metabolism ( sce00380 )	No change
r_0057	fatty acid degradation ( sce00071 )	ito980 and imm904
r_0058	tryptophan metabolism ( sce00380 )	No change
r_0059	complex alcohol metabolism	ito980
r_0060	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0061	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/sce00660 C5-Branched dibasic acid metabolism / sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0062	complex alcohol metabolism	imm904
r_0063	pantothenate and coa biosynthesis ( sce00770 )	No change
r_0064	complex alcohol metabolism	"EC should be 4.1.1.72; imm904"
r_0065	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0066	folate biosynthesis ( sce00790 )	No change
r_0067	folate biosynthesis ( sce00790 )	MNX
r_0068	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce00410 beta-Alanine metabolism / sce00640 Propanoate metabolism / sce00650 Butanoate metabolism; ito980 and imm904"
r_0069	vitamin b6 metabolism ( sce00750 )	"sce00260 Glycine, serine and threonine metabolism / ; MNX"
r_0070	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	imm904
r_0072	complex alcohol metabolism	Ito980 and imm904
r_0073	inositol phosphate metabolism ( sce00562 )	kegg
r_0074	phosphatidylinositol signaling system ( sce04070 )	No change
r_0075	cysteine and methionine metabolism ( sce00270 )	No change
r_0076	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0077	purine metabolism ( sce00230 )	"/ sce00760 Nicotinate and nicotinamide metabolism; MNX"
r_0078	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0079	purine metabolism ( sce00230 )	No change
r_0080	one carbon pool by folate ( sce00670 )	No change
r_0081	porphyrin and chlorophyll metabolism ( sce00860 )	"sce00260 Glycine, serine and threonine metabolism; ito980 and imm904"
r_0082	inositol phosphate metabolism ( sce00562 )	kegg
r_0083	phosphatidylinositol signaling system ( sce04070 )	No change
r_0084	one carbon pool by folate ( sce00670 )	No change
r_0085	cysteine and methionine metabolism ( sce00270 )	"/ sce00450 Selenocompound metabolism; ito980 and imm904"
r_0086	cysteine and methionine metabolism ( sce00270 )	imm904
r_0087	cysteine and methionine metabolism ( sce00270 )	imm904
r_0088	inositol phosphate metabolism ( sce00562 )	kegg
r_0089	inositol phosphate metabolism ( sce00562 )	kegg
r_0090	fructose and mannose metabolism ( sce00051 )	No change
r_0091	pentose phosphate pathway ( sce00030 )	No change
r_0092	inositol phosphate metabolism ( sce00562 )	kegg
r_0093	phosphatidylinositol signaling system ( sce04070 )	No change
r_0094	biotin metabolism ( sce00780 )	MNX
r_0095	acetoin and butanediol biosynthesis	"sce00010 Glycolysis / Gluconeogenesis /; kegg"
r_0096	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0097	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce00650 Butanoate metabolism / sce00660 C5-Branched dibasic acid metabolism / sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0099	fatty acid biosynthesis ( sce00061 )	"sce00190 Oxidative phosphorylation; imm904; wrong gene information?"
r_0100	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids/ sce01212 Fatty acid metabolism / sce04146 Peroxisome; ito980"
r_0101	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids/ sce01212 Fatty acid metabolism / sce04146 Peroxisome; ito980"
r_0102	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids/ sce01212 Fatty acid metabolism / sce04146 Peroxisome; ito980"
r_0103	fatty acid degradation ( sce00071 )	"/ sce00072 Synthesis and degradation of ketone bodies / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00380 Tryptophan metabolism / sce00620 Pyruvate metabolism / sce00630 ; kegg Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00650 Butanoate metabolism / sce00900 Terpenoid backbone biosynthesis / sce01212 Fatty acid metabolism"
r_0104	fatty acid degradation ( sce00071 )	"/ sce00072 Synthesis and degradation of ketone bodies / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00380 Tryptophan metabolism / sce00620 Pyruvate metabolism / sce00630 ; kegg Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00650 Butanoate metabolism / sce00900 Terpenoid backbone biosynthesis / sce01212 Fatty acid metabolism"
r_0105	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids/ sce01212 Fatty acid metabolism / sce04146 Peroxisome; ito980"
r_0106	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids/ sce01212 Fatty acid metabolism / sce04146 Peroxisome; ito980"
r_0107	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids/ sce01212 Fatty acid metabolism / sce04146 Peroxisome; ito980"
r_0108	fatty acid biosynthesis ( sce00061 )	"/ sce00620 Pyruvate metabolism / sce00640 Propanoate metabolism / sce01212 Fatty acid metabolism ; ito980"
r_0109	fatty acid biosynthesis ( sce00061 )	"/ sce00620 Pyruvate metabolism / sce00640 Propanoate metabolism / sce01212 Fatty acid metabolism ; ito980"
r_0111	pyruvate metabolism ( sce00620 )	No change
r_0112	pyruvate metabolism ( sce00620 )	"/ sce00640 Propanoate metabolism / sce00010 Glycolysis / Gluconeogenesis / ; ito980 and imm904"
r_0113	pyruvate metabolism ( sce00620 )	"/ sce00640 Propanoate metabolism / sce00010 Glycolysis / Gluconeogenesis / ; ito980 and imm904"
r_0114	pyruvate metabolism ( sce00620 )	"/ sce00640 Propanoate metabolism / sce00010 Glycolysis / Gluconeogenesis / ; ito980 and imm904"
r_0115	arginine biosynthesis ( sce00220 )	"/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0116	riboflavin metabolism ( sce00740 )	"/ sce04111 Cell cycle – yeast /sce00730 Thiamine metabolism; ito980"
r_0117	propanoate metabolism ( sce00640 )	No change
r_0118	arginine biosynthesis ( sce00220 )	"/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0119	pantothenate and coa biosynthesis ( sce00770 )	ito980 and imm904
r_0120	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome / sce01040 Biosynthesis of unsaturated fatty acids; ito980"
r_0121	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome / sce01040 Biosynthesis of unsaturated fatty acids; ito980"
r_0122	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome / sce01040 Biosynthesis of unsaturated fatty acids; ito980"
r_0123	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome / sce01040 Biosynthesis of unsaturated fatty acids; ito980"
r_0124	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome / sce01040 Biosynthesis of unsaturated fatty acids; ito980"
r_0125	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome / sce01040 Biosynthesis of unsaturated fatty acids; ito980"
r_0126	steroid biosynthesis ( sce00100 )	No change
r_0127	steroid biosynthesis ( sce00100 )	No change
r_0128	steroid biosynthesis ( sce00100 )	No change
r_0129	steroid biosynthesis ( sce00100 )	No change
r_0130	steroid biosynthesis ( sce00100 )	No change
r_0131	steroid biosynthesis ( sce00100 )	No change
r_0132	steroid biosynthesis ( sce00100 )	No change
r_0133	steroid biosynthesis ( sce00100 )	No change
r_0134	steroid biosynthesis ( sce00100 )	No change
r_0135	steroid biosynthesis ( sce00100 )	No change
r_0137	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )	No change
r_0138	purine metabolism ( sce00230 )	No change
r_0139	purine metabolism ( sce00230 )	No change
r_0140	purine metabolism ( sce00230 )	No change
r_0142	purine metabolism ( sce00230 )	No change
r_0143	purine metabolism ( sce00230 )	No change
r_0144	cysteine and methionine metabolism ( sce00270 )	No change
r_0145	arginine and proline metabolism ( sce00330 )	"sce00270 Cysteine and methionine metabolism / ; ito980"
r_0146	biotin metabolism ( sce00780 )	No change
r_0147	purine metabolism ( sce00230 )	"/ sce04113 Meiosis - yeast / sce04213 Longevity regulating pathway - multiple species; ito980"
r_0148	purine metabolism ( sce00230 )	"/ sce00730 Thiamine metabolism; MNX"
r_0149	purine metabolism ( sce00230 )	"/ sce00730 Thiamine metabolism; MNX"
r_0150	purine metabolism ( sce00230 )	"/ sce00730 Thiamine metabolism; MNX"
r_0151	purine metabolism ( sce00230 )	"/ sce00250 Alanine, aspartate and glutamate metabolism; kegg and MNX"
r_0152	purine metabolism ( sce00230 )	"/ sce00250 Alanine, aspartate and glutamate metabolism; ito980"
r_0153	purine metabolism ( sce00230 )	"/ sce00250 Alanine, aspartate and glutamate metabolism; ito980"
r_0154	sulfur metabolism ( sce00920 )	"/ sce00230 Purine metabolism ; MNX"
r_0155	other	ito980
r_0156	alanine, aspartate and glutamate metabolism ( sce00250 )	"sce00260 Glycine, serine and threonine metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce04146 Peroxisome; MNX"
r_0157	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0158	complex alcohol metabolism	ito980 and imm904
r_0159	complex alcohol metabolism	ito980 and imm904
r_0160	complex alcohol metabolism	ito980 and imm904
r_0161	complex alcohol metabolism	ito980 and imm904
r_0162	complex alcohol metabolism	ito980 and imm904
r_0163	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; MNX"
r_0164	glycerolipid metabolism ( sce00561 )	"sce00040 Pentose and glucuronate interconversions; MNX"
r_0165	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; MNX"
