met	reaction	formula	MNX_ID	reactant	product	common_met_num
Rh1	1 MNXM162702@MNXD1 + 1 MNXM2@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM162702@MNXD2 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1	1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` = 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`	MNXR125804	1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` 	 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`	1
Rh1	1 MNXM162702@MNXD1 + 1 MNXM2@MNXD2 + 1 MNXM3@MNXD2 = 1 MNXM1@MNXD2 + 1 MNXM162702@MNXD2 + 1 MNXM7@MNXD2 + 1 MNXM9@MNXD2	1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` = 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`	MNXR125805	1 `phospholipid derivative` + 1 `H2O` + 1 `ATP` 	 1 `H(+)` + 1 `phospholipid derivative` + 1 `ADP` + 1 `phosphate`	1
Rh16	1 MNXM01@MNXD1 + 1 MNXM32@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM32@MNXD2 + 1 MNXM70@MNXD1	1 `H(+)` + 1 `L-alanine` + 1 `L-arginine` = 1 `H(+)` + 1 `L-alanine` + 1 `L-arginine`	MNXR95707	1 `H(+)` + 1 `L-alanine` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-alanine` + 1 `L-arginine`	3
Rh16	1 MNXM328@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM328@MNXD2 + 1 MNXM70@MNXD1	1 `agmatine` + 1 `L-arginine` = 1 `agmatine` + 1 `L-arginine`	MNXR95938	1 `agmatine` + 1 `L-arginine` 	 1 `agmatine` + 1 `L-arginine`	2
Rh16	2 MNXM27@MNXD1 + 1 MNXM43@MNXD1 + 1 MNXM70@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM43@MNXD2 + 1 MNXM70@MNXD2	2 `Na(+)` + 1 `chloride` + 1 `L-arginine` = 2 `Na(+)` + 1 `chloride` + 1 `L-arginine`	MNXR95939	2 `Na(+)` + 1 `chloride` + 1 `L-arginine` 	 2 `Na(+)` + 1 `chloride` + 1 `L-arginine`	3
Rh16	1 MNXM70@MNXD1 + 1 MNXM78@MNXD2 = 1 MNXM70@MNXD2 + 1 MNXM78@MNXD1	1 `L-arginine` + 1 `L-lysine` = 1 `L-arginine` + 1 `L-lysine`	MNXR95944	1 `L-arginine` + 1 `L-lysine` 	 1 `L-arginine` + 1 `L-lysine`	2
Rh16	1 MNXM70@MNXD1 + 1 MNXM89689@MNXD2 = 1 MNXM70@MNXD2 + 1 MNXM89689@MNXD1	1 `L-arginine` + 1 `L-ornithine` = 1 `L-arginine` + 1 `L-ornithine`	MNXR95946	1 `L-arginine` + 1 `L-ornithine` 	 1 `L-arginine` + 1 `L-ornithine`	2
Rh16	1 MNXM70@MNXD1 = 1 MNXM70@MNXD2	1 `L-arginine` = 1 `L-arginine`	MNXR95951	1 `L-arginine` 	 1 `L-arginine`	1
Rh16	1 MNXM1@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM70@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM70@MNXD2	1 `H(+)` + 1 `ADP` + 1 `L-arginine` + 1 `phosphate` = 1 `H2O` + 1 `ATP` + 1 `L-arginine`	MNXR95952	1 `H(+)` + 1 `ADP` + 1 `L-arginine` + 1 `phosphate` 	 1 `H2O` + 1 `ATP` + 1 `L-arginine`	1
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM70@MNXD2	1 `H(+)` + 1 `L-arginine` = 1 `H(+)` + 1 `L-arginine`	MNXR95953	1 `H(+)` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-arginine`	2
